omega2,mature,age,ID,age_group,mature_group,delay
0.141021347,-5.687671233,38.89315068,UNI,1,5,1.5
0.103636692,-5.687671233,38.89315068,UNI,1,5,1.5
0.354888574,-5.687671233,38.89315068,UNI,1,5,1.5
0.281286629,-5.687671233,38.89315068,UNI,1,5,1.5
0.15616925,-5.687671233,38.89315068,UNI,1,5,1.5
0.193999759,-5.621917808,38.95890411,UNI,1,5,3
0.174310014,-5.621917808,38.95890411,UNI,1,5,3
0.553976144,-5.457534247,39.12328767,UNI,1,5,3
0.191468904,-5.424657534,39.15616438,UNI,1,5,1.5
0.426693578,-5.391780822,39.1890411,UNI,1,5,3
0.562577452,-5.391780822,39.1890411,UNI,1,5,3
0.757025076,-0.394520548,44.18630137,UNI,2,6,1.5
0.372108636,-0.131506849,44.44931507,UNI,2,6,3
0.069265295,0.493150685,45.0739726,UNI,2,6,1.5
0.193987281,0.493150685,45.0739726,UNI,2,6,1.5
0.058653324,0.493150685,45.0739726,UNI,2,6,1.5
0.053916626,0.493150685,45.0739726,UNI,2,6,1.5
0.193987281,0.493150685,45.0739726,UNI,2,6,1.5
0.058653324,0.493150685,45.0739726,UNI,2,6,1.5
0.140421934,0.526027397,45.10684932,UNI,2,6,3
0.152301355,0.526027397,45.10684932,UNI,2,6,3
0.283789787,0.526027397,45.10684932,UNI,2,6,3
0.051450706,0.55890411,45.13972603,UNI,2,6,3
0.137421598,0.55890411,45.13972603,UNI,2,6,3
0.375714766,4.865753425,49.44657534,UNI,3,6,1.5
0.322134621,4.898630137,49.47945205,UNI,3,6,3
-0.00420463,5.095890411,49.67671233,UNI,3,6,1.5
0.048066908,5.589041096,50.16986301,UNI,3,6,3
0.141471702,10.42191781,55.00273973,UNI,4,7,1.5
-0.008201023,10.45479452,55.03561644,UNI,4,7,3
-0.002420667,10.68493151,55.26575342,UNI,4,7,3
-0.015773945,10.68493151,55.26575342,UNI,4,7,3
0.010102782,10.68493151,55.26575342,UNI,4,7,3
0.251007892,10.68493151,55.26575342,UNI,4,7,3
0.255360684,10.68493151,55.26575342,UNI,4,7,3
0.088930917,10.68493151,55.26575342,UNI,4,7,3
-0.039714079,10.84931507,55.43013699,UNI,4,7,1.5
0.086998811,10.84931507,55.43013699,UNI,4,7,1.5
0.232888988,10.84931507,55.43013699,UNI,4,7,1.5
0.331835602,10.84931507,55.43013699,UNI,4,7,1.5
0.414788538,10.91506849,55.49589041,UNI,4,7,3
0.127755155,11.14520548,55.7260274,UNI,4,7,3
0.029104065,11.17808219,55.75890411,UNI,4,7,3
0.015417532,11.30958904,55.89041096,UNI,5,7,1.5
0.149468783,11.30958904,55.89041096,UNI,5,7,1.5
0.244251264,11.40821918,55.9890411,UNI,5,7,3
0.465274799,11.40821918,55.9890411,UNI,5,7,3
0.148854448,11.40821918,55.9890411,UNI,5,7,3
-0.081123034,11.40821918,55.9890411,UNI,5,7,3
0.054774359,11.40821918,55.9890411,UNI,5,7,3
0.521200009,11.53972603,56.12054795,UNI,5,7,1.5
0.67995587,11.53972603,56.12054795,UNI,5,7,1.5
0.25370312,11.53972603,56.12054795,UNI,5,7,1.5
0.030183565,11.53972603,56.12054795,UNI,5,7,1.5
0.689242115,11.57260274,56.15342466,UNI,5,7,3
0.71929744,11.57260274,56.15342466,UNI,5,7,3
0.688067723,11.57260274,56.15342466,UNI,5,7,3
0.560417197,11.57260274,56.15342466,UNI,5,7,3
0.727903893,11.57260274,56.15342466,UNI,5,7,3
0.369222091,11.57260274,56.15342466,UNI,5,7,3
0.33881994,11.57260274,56.15342466,UNI,5,7,3
0.174427091,11.60547945,56.18630137,UNI,5,7,3
0.163618995,11.60547945,56.18630137,UNI,5,7,3
0.146805737,11.60547945,56.18630137,UNI,5,7,3
0.222647939,15.97808219,60.55890411,UNI,6,8,3
0.246970685,15.97808219,60.55890411,UNI,6,8,3
0.377720536,15.97808219,60.55890411,UNI,6,8,3
0.20124383,15.97808219,60.55890411,UNI,6,8,3
0.191629621,15.97808219,60.55890411,UNI,6,8,3
0.055057338,15.97808219,60.55890411,UNI,6,8,3
0.042353203,16.17534247,60.75616438,UNI,6,8,1.5
-0.005812214,16.17534247,60.75616438,UNI,6,8,1.5
0.026747196,16.17534247,60.75616438,UNI,6,8,1.5
0.031081987,16.24109589,60.82191781,UNI,6,8,3
0.273371447,16.24109589,60.82191781,UNI,6,8,3
0.1468589,16.24109589,60.82191781,UNI,6,8,3
0.140097971,16.24109589,60.82191781,UNI,6,8,3
0.093642872,16.24109589,60.82191781,UNI,6,8,3
0.275333056,16.24109589,60.82191781,UNI,6,8,3
0.089671885,16.24109589,60.82191781,UNI,6,8,3
0.217148262,16.24109589,60.82191781,UNI,6,8,3
0.421786158,16.40547945,60.98630137,UNI,6,8,3
0.237719082,16.40547945,60.98630137,UNI,6,8,3
0.025471598,16.40547945,60.98630137,UNI,6,8,3
0.022644003,16.40547945,60.98630137,UNI,6,8,3
0.078929012,16.40547945,60.98630137,UNI,6,8,3
0.080049443,16.47123288,61.05205479,UNI,6,8,3
0.01856295,16.47123288,61.05205479,UNI,6,8,3
0.085915453,16.47123288,61.05205479,UNI,6,8,3
0.036074973,16.83287671,61.41369863,UNI,6,8,1.5
0.588564916,16.86575342,61.44657534,UNI,6,8,3
0.604634929,16.86575342,61.44657534,UNI,6,8,3
0.385740402,16.86575342,61.44657534,UNI,6,8,3
0.348680201,16.86575342,61.44657534,UNI,6,8,3
0.389164755,16.86575342,61.44657534,UNI,6,8,3
0.556759496,16.86575342,61.44657534,UNI,6,8,3
0.020579981,16.86575342,61.44657534,UNI,6,8,3
-0.02462164,16.86575342,61.44657534,UNI,6,8,3
0.409012132,16.86575342,61.44657534,UNI,6,8,3
-0.04836448,16.89863014,61.47945205,UNI,6,8,1.5
0.017301262,16.93150685,61.51232877,UNI,6,8,3
0.110458906,16.93150685,61.51232877,UNI,6,8,3
0.404457,16.93150685,61.51232877,UNI,6,8,3
0.36535726,16.93150685,61.51232877,UNI,6,8,3
-0.030569644,-19.82465753,46.22465753,ROS,2,2,3
0.019028899,-19.62739726,46.42191781,ROS,2,2,3
-0.013622624,-17.26027397,48.7890411,ROS,3,3,3
0.162212969,-13.47945205,52.56986301,ROS,4,3,1.5
0.133153544,-13.47945205,52.56986301,ROS,4,3,1.5
0.08398232,-3.287671233,62.76164384,ROS,6,5,3
-0.012774736,-2.761643836,63.28767123,ROS,6,5,1.5
0.193845434,-2.630136986,63.41917808,ROS,6,5,1.5
0.017969057,1.052054795,67.10136986,ROS,7,6,1.5
0.082673045,1.052054795,67.10136986,ROS,7,6,1.5
-0.00071363,1.084931507,67.13424658,ROS,7,6,3
-0.054176137,1.150684932,67.2,ROS,7,6,3
0.053383947,1.150684932,67.2,ROS,7,6,3
-0.006908142,1.347945205,67.39726027,ROS,7,6,3
0.001779891,1.347945205,67.39726027,ROS,7,6,3
-0.020827955,1.545205479,67.59452055,ROS,7,6,3
0.09281933,1.545205479,67.59452055,ROS,7,6,3
0.005816323,-10.61917808,48.46027397,OLI,3,4,3
0.340403251,-10.52054795,48.55890411,OLI,3,4,3
0.088222203,-10.52054795,48.55890411,OLI,3,4,3
0.215977346,-10.52054795,48.55890411,OLI,3,4,3
0.273152463,-10.52054795,48.55890411,OLI,3,4,3
0.237957693,-10.52054795,48.55890411,OLI,3,4,3
-0.007721117,-5.556164384,53.52328767,OLI,4,5,3
0.077526233,-5.490410959,53.5890411,OLI,4,5,3
0.427310615,-5.293150685,53.78630137,OLI,4,5,3
0.639272368,-5.260273973,53.81917808,OLI,4,5,3
0.340524659,-5.063013699,54.01643836,OLI,4,5,1.5
0.062592572,-0.657534247,58.42191781,OLI,5,5,3
-0.009216879,-0.657534247,58.42191781,OLI,5,5,3
0.284038708,-0.460273973,58.61917808,OLI,5,5,1.5
0.19386839,-0.460273973,58.61917808,OLI,5,5,1.5
0.127210256,-0.460273973,58.61917808,OLI,5,5,1.5
0.307600709,-0.032876712,59.04657534,OLI,5,6,1.5
0.027395172,4.832876712,63.91232877,OLI,6,6,3
0.483859595,5.030136986,64.10958904,OLI,7,6,1.5
0.142390966,5.030136986,64.10958904,OLI,7,6,1.5
0.152893779,5.030136986,64.10958904,OLI,7,6,1.5
0.305346419,5.030136986,64.10958904,OLI,7,6,1.5
-0.029403324,5.063013699,64.14246575,OLI,7,6,3
-0.018358936,5.095890411,64.17534247,OLI,7,6,3
-0.145925424,5.095890411,64.17534247,OLI,7,6,3
0.056665575,5.095890411,64.17534247,OLI,7,6,3
0.339599444,5.260273973,64.33972603,OLI,7,6,1.5
0.086225832,5.260273973,64.33972603,OLI,7,6,1.5
0.138070367,5.260273973,64.33972603,OLI,7,6,1.5
0.200342176,5.293150685,64.37260274,OLI,7,6,3
0.261307269,5.293150685,64.37260274,OLI,7,6,3
0.701334971,5.293150685,64.37260274,OLI,7,6,3
0.112750987,5.490410959,64.56986301,OLI,7,6,1.5
0.114839137,5.490410959,64.56986301,OLI,7,6,1.5
0.312206568,5.556164384,64.63561644,OLI,7,6,3
0.162109361,5.556164384,64.63561644,OLI,7,6,3
0.048875237,10.15890411,69.23835616,OLI,8,7,3
0.071219512,10.15890411,69.23835616,OLI,8,7,3
0.215142865,-9.994520548,39.81369863,TRI,1,4,1.5
-0.01379614,-9.764383562,40.04383562,TRI,1,4,1.5
-0.109964511,-8.252054795,41.55616438,TRI,1,4,1.5
0.027511196,-8.219178082,41.5890411,TRI,1,4,1.5
0.145610836,-8.219178082,41.5890411,TRI,1,4,1.5
-0.064456016,-8.18630137,41.62191781,TRI,1,4,1.5
-0.073317802,-7.989041096,41.81917808,TRI,1,4,1.5
0.036476256,-7.495890411,42.31232877,TRI,1,4,1.5
0.067434476,0.756164384,50.56438356,TRI,3,6,1.5
0.139181287,0.756164384,50.56438356,TRI,3,6,1.5
0.176802004,6.082191781,55.89041096,TRI,5,7,1.5
0.207387673,6.082191781,55.89041096,TRI,5,7,1.5
0.148596714,6.082191781,55.89041096,TRI,5,7,1.5
0.007398037,11.57260274,61.38082192,TRI,6,7,1.5
0.028461784,-7.693150685,47.37534247,VIK,2,4,1.5
0.19395466,-7.265753425,47.80273973,VIK,3,4,1.5
0.097188382,-7.265753425,47.80273973,VIK,3,4,1.5
-0.012405645,-3.550684932,51.51780822,VIK,3,5,1.5
0.080978203,-3.550684932,51.51780822,VIK,3,5,1.5
0.114909549,-3.550684932,51.51780822,VIK,3,5,1.5
0.090165466,7.232876712,62.30136986,VIK,6,7,1.5
-0.012375199,7.397260274,62.46575342,VIK,6,7,1.5
-0.050003925,7.660273973,62.72876712,VIK,6,7,1.5
-0.073621239,11.86849315,66.9369863,VIK,7,7,1.5
0.015677895,12.03287671,67.10136986,VIK,7,8,1.5
0.001539158,12.03287671,67.10136986,VIK,7,8,1.5
0.002882751,12.03287671,67.10136986,VIK,7,8,1.5
-0.086447118,12.2630137,67.33150685,VIK,7,8,1.5
-0.051312299,12.2630137,67.33150685,VIK,7,8,1.5
0.130780156,-11.7369863,42.96986301,SON,1,4,1.5
0.151780895,-10.81643836,43.89041096,SON,2,4,1.5
0.012104979,-10.32328767,44.38356164,SON,2,4,1.5
0.030390428,-8.416438356,46.29041096,SON,2,4,1.5
0.126640712,2.498630137,57.20547945,SON,5,6,1.5
-0.035204567,2.564383562,57.27123288,SON,5,6,1.5
0.134738772,2.564383562,57.27123288,SON,5,6,1.5
0.039222492,2.564383562,57.27123288,SON,5,6,1.5
0.024418216,2.564383562,57.27123288,SON,5,6,1.5
-0.01092637,2.728767123,57.43561644,SON,5,6,1.5
-0.013711809,2.728767123,57.43561644,SON,5,6,1.5
-0.008462109,2.728767123,57.43561644,SON,5,6,1.5
-0.015128346,7.397260274,62.10410959,SON,6,7,1.5
0.151521984,7.397260274,62.10410959,SON,6,7,1.5
0.065695773,7.397260274,62.10410959,SON,6,7,1.5
0.043698878,7.857534247,62.56438356,SON,6,7,1.5
0.025929132,7.890410959,62.59726027,SON,6,7,1.5
0.091885128,-8.252054795,48.23013699,QUA,3,4,1.5
-0.007090431,-8.219178082,48.2630137,QUA,3,4,1.5
0.50358845,-2.728767123,53.75342466,QUA,4,5,1.5
0.529962124,-2.663013699,53.81917808,QUA,4,5,1.5
0.207499533,-2.663013699,53.81917808,QUA,4,5,1.5
0.192046668,-2.663013699,53.81917808,QUA,4,5,1.5
-0.024377431,-2.498630137,53.98356164,QUA,4,5,1.5
0.212241281,-29.78630137,47.76986301,PIC,3,1,1.5
-0.018033122,-24.46027397,53.09589041,PIC,4,2,3
0.603681068,-24,53.55616438,PIC,4,2,3
0.147197215,-24,53.55616438,PIC,4,2,3
0.443545279,-24,53.55616438,PIC,4,2,3
0.07182954,-19.85753425,57.69863014,PIC,5,2,3
0.168558316,-19.66027397,57.89589041,PIC,5,2,1.5
0.088275204,-19.66027397,57.89589041,PIC,5,2,1.5
-0.040963344,-19.62739726,57.92876712,PIC,5,2,3
0.471465639,-19.39726027,58.15890411,PIC,5,2,3
0.467633932,-19.39726027,58.15890411,PIC,5,2,3
0.089581751,-19.39726027,58.15890411,PIC,5,2,3
-0.01076087,-19.39726027,58.15890411,PIC,5,2,3
0.1188211,-19.39726027,58.15890411,PIC,5,2,3
0.109960543,-19.36438356,58.19178082,PIC,5,2,3
0.051170337,-19.33150685,58.22465753,PIC,5,2,3
0.078784874,-19.33150685,58.22465753,PIC,5,2,3
0.011595451,-19.33150685,58.22465753,PIC,5,2,3
-0.089468316,-19.33150685,58.22465753,PIC,5,2,3
-0.02844829,-19.33150685,58.22465753,PIC,5,2,3
0.102219263,-19.33150685,58.22465753,PIC,5,2,3
0.405309316,-19.13424658,58.42191781,PIC,5,2,3
0.342538385,-19.10136986,58.45479452,PIC,5,2,3
0.044486405,-19.10136986,58.45479452,PIC,5,2,3
0.027582399,-19.10136986,58.45479452,PIC,5,2,3
0.013743763,-19.10136986,58.45479452,PIC,5,2,3
0.016702651,-18.96986301,58.58630137,PIC,5,2,1.5
0.009895708,-18.90410959,58.65205479,PIC,5,3,3
0.180495228,-18.90410959,58.65205479,PIC,5,3,3
-0.034934124,-14.56438356,62.99178082,PIC,6,3,1.5
0.013370632,-14.56438356,62.99178082,PIC,6,3,1.5
-0.040873186,-14.49863014,63.05753425,PIC,6,3,3
0.187532289,-14.49863014,63.05753425,PIC,6,3,3
-0.001046077,-14.36712329,63.1890411,PIC,6,3,1.5
0.139654786,-14.36712329,63.1890411,PIC,6,3,1.5
0.231509504,-14.36712329,63.1890411,PIC,6,3,1.5
0.161719213,-14.30136986,63.25479452,PIC,6,3,3
0.366415048,-14.1369863,63.41917808,PIC,6,3,1.5
0.037626727,-14.1369863,63.41917808,PIC,6,3,1.5
0.244914565,-14.1369863,63.41917808,PIC,6,3,1.5
0.181827846,-14.10410959,63.45205479,PIC,6,3,3
0.190845212,-14.10410959,63.45205479,PIC,6,3,3
0.032008442,-14.10410959,63.45205479,PIC,6,3,3
0.175057975,-14.03835616,63.51780822,PIC,6,3,3
-0.053170864,-4.964383562,39.61643836,UNI,1,5,3
0.026559095,-0.164383562,44.41643836,UNI,2,6,3
0.829407857,0.591780822,45.17260274,UNI,2,6,3
0.61751384,0.591780822,45.17260274,UNI,2,6,3
0.165378671,5.424657534,50.00547945,UNI,3,6,3
0.245095605,5.424657534,50.00547945,UNI,3,6,3
0.376053046,5.424657534,50.00547945,UNI,3,6,3
0.113709103,10.48767123,55.06849315,UNI,4,7,3
0.365950312,11.34246575,55.92328767,UNI,5,7,3
-0.049319414,11.37534247,55.95616438,UNI,5,7,3
0.166024119,11.37534247,55.95616438,UNI,5,7,3
0,11.37534247,55.95616438,UNI,5,7,3
0.203906754,11.37534247,55.95616438,UNI,5,7,3
-0.00355366,16.37260274,60.95342466,UNI,6,8,1.5
0.082463461,16.37260274,60.95342466,UNI,6,8,1.5
0.138301817,16.37260274,60.95342466,UNI,6,8,1.5
-0.003140408,16.43835616,61.01917808,UNI,6,8,3
-0.009633687,16.60273973,61.18356164,UNI,6,8,1.5
0.00010796,16.63561644,61.21643836,UNI,6,8,3
0.112037199,-17.75342466,48.29589041,ROS,3,3,3
0.086556169,-17.29315068,48.75616438,ROS,3,3,3
-0.01896606,-8.580821918,57.46849315,ROS,5,4,3
0.084622656,-3.090410959,62.95890411,ROS,6,5,1.5
0.026419775,-3.090410959,62.95890411,ROS,6,5,1.5
0.098394976,-3.057534247,62.99178082,ROS,6,5,3
-0.064128791,-3.057534247,62.99178082,ROS,6,5,3
0.048031768,-2.991780822,63.05753425,ROS,6,5,3
0.219673821,-2.991780822,63.05753425,ROS,6,5,3
0.095485366,-2.564383562,63.48493151,ROS,6,5,3
0.174085776,-2.564383562,63.48493151,ROS,6,5,3
0.166126253,-2.564383562,63.48493151,ROS,6,5,3
-0.059639609,1.282191781,67.33150685,ROS,7,6,1.5
0.064986521,1.282191781,67.33150685,ROS,7,6,1.5
0.340328786,-10.55342466,48.5260274,OLI,3,4,3
0.154903525,-10.32328767,48.75616438,OLI,3,4,1.5
0.065579273,-0.263013699,58.81643836,OLI,5,6,1.5
0.01076313,0,59.07945205,OLI,5,6,3
0.080181543,0.032876712,59.11232877,OLI,5,6,3
0.130759803,0.032876712,59.11232877,OLI,5,6,3
-0.0738461,5.326027397,64.40547945,OLI,7,6,3
0.066922371,10.1260274,69.20547945,OLI,8,7,3
0.002562699,10.1260274,69.20547945,OLI,8,7,3
-0.035464254,10.1260274,69.20547945,OLI,8,7,3
0.165365507,10.32328767,69.40273973,OLI,8,7,1.5
-0.047010154,10.32328767,69.40273973,OLI,8,7,1.5
0.365212396,0.493150685,50.30136986,TRI,3,6,1.5
-0.01462232,5.819178082,55.62739726,TRI,4,7,1.5
0.038058991,5.819178082,55.62739726,TRI,4,7,1.5
