omega2,mature,age,ID,age_group,mature_group,delay,sess
0.154612414,-8.252054795,48.23013699,QUA,2,2,1.5,QUA001_1
0.03204565,-8.219178082,48.2630137,QUA,2,2,1.5,QUA002_1
0.052802403,-8.18630137,48.29589041,QUA,2,2,1.5,QUA003_1
0,-8.153424658,48.32876712,QUA,2,2,1.5,QUA004_1
0,-6.805479452,49.67671233,QUA,2,3,1.5,QUA008_1
0,-6.77260274,49.70958904,QUA,2,3,1.5,QUA009_1
0.025755403,-2.991780822,53.49041096,QUA,2,3,1.5,QUA018_1
0.009601583,-2.893150685,53.5890411,QUA,2,3,1.5,QUA021_1
0.082044421,-2.860273973,53.62191781,QUA,2,3,1.5,QUA022_1
0.067051598,-2.728767123,53.75342466,QUA,2,3,1.5,QUA023_1
0,-2.695890411,53.78630137,QUA,2,3,1.5,QUA024_1
0,-2.663013699,53.81917808,QUA,2,3,1.5,QUA025_1
0.151496832,-2.630136986,53.85205479,QUA,2,3,1.5,QUA026_1
0.011290467,-2.498630137,53.98356164,QUA,2,3,1.5,QUA027_1
0.088557363,-2.465753425,54.01643836,QUA,2,3,1.5,QUA028_1
0,-12.62465753,46.45479452,OLI,2,2,3,oli002_1
0,-12.39452055,46.68493151,OLI,2,2,3,oli006_1
0,-11.96712329,47.11232877,OLI,2,2,3,oli009_1
0,-11.93424658,47.14520548,OLI,2,2,1.5,oli010_1
0,-10.84931507,48.23013699,OLI,2,2,3,oli013_1
0,-10.81643836,48.2630137,OLI,2,2,1.5,oli014_1
0,-10.61917808,48.46027397,OLI,2,2,3,oli016_1
0.064615385,-10.58630137,48.49315068,OLI,2,2,1.5,oli017_1
0.156069611,-10.55342466,48.5260274,OLI,2,2,3,oli018_1
0.122358674,-10.52054795,48.55890411,OLI,2,2,3,oli019_1
0.154903525,-10.32328767,48.75616438,OLI,2,2,1.5,oli022_1
0.081979567,-10.29041096,48.7890411,OLI,2,2,3,oli023_1
0.022628548,-5.556164384,53.52328767,OLI,2,3,3,oli025_1
0.075030336,-5.490410959,53.5890411,OLI,2,3,3,oli027_1
0.012170453,-5.457534247,53.62191781,OLI,2,3,3,oli028_1
0,-5.326027397,53.75342466,OLI,2,3,1.5,oli029_1
0.427310615,-5.293150685,53.78630137,OLI,2,3,3,oli030_1
0.308454075,-5.260273973,53.81917808,OLI,2,3,3,oli031_1
0,-5.22739726,53.85205479,OLI,2,3,3,oli032_1
0.226937392,-5.063013699,54.01643836,OLI,2,3,1.5,oli033_1
0,-5.030136986,54.04931507,OLI,3,3,3,oli034_1
0.047482645,-0.657534247,58.42191781,OLI,3,3,3,oli037_1
0,-0.624657534,58.45479452,OLI,3,3,3,oli038_1
0,-0.493150685,58.58630137,OLI,3,3,3,oli039_1
0.056548718,-0.460273973,58.61917808,OLI,3,3,1.5,oli040_1
0,-0.42739726,58.65205479,OLI,3,3,1.5,oli041_1
0,-0.263013699,58.81643836,OLI,3,3,1.5,oli043_1
0.015282279,-0.230136986,58.84931507,OLI,3,3,3,oli044_1
0.060402399,-0.032876712,59.04657534,OLI,3,3,1.5,oli045_1
0.014180629,0,59.07945205,OLI,3,3,3,oli046_1
0.040065395,0.032876712,59.11232877,OLI,3,3,3,oli047_1
0,4.602739726,63.68219178,OLI,4,3,3,oli049_1
0,4.668493151,63.74794521,OLI,4,3,3,oli050_1
0,4.8,63.87945205,OLI,4,3,1.5,oli051_1
0.00978933,4.832876712,63.91232877,OLI,4,3,3,oli052_1
0.068357222,4.898630137,63.97808219,OLI,4,3,3,oli054_1
0.133366959,5.030136986,64.10958904,OLI,4,4,1.5,oli055_1
0,5.063013699,64.14246575,OLI,4,4,3,oli056_1
0.046154763,5.095890411,64.17534247,OLI,4,4,3,oli057_1
0.278338279,5.128767123,64.20821918,OLI,4,4,3,oli058_1
0.089817076,5.260273973,64.33972603,OLI,4,4,1.5,oli059_1
0.322918284,5.293150685,64.37260274,OLI,4,4,3,oli060_1
0.004946908,5.326027397,64.40547945,OLI,4,4,3,oli061_1
0.033144949,5.35890411,64.43835616,OLI,4,4,3,oli062_1
0,5.490410959,64.56986301,OLI,4,4,1.5,oli063_1
0,5.523287671,64.60273973,OLI,4,4,3,oli064_1
0,5.556164384,64.63561644,OLI,4,4,3,oli065_1
0,5.589041096,64.66849315,OLI,4,4,3,oli066_1
0,10.1260274,69.20547945,OLI,4,4,3,oli070_1
0,10.15890411,69.23835616,OLI,4,4,3,oli071_1
0,10.32328767,69.40273973,OLI,4,4,1.5,oli072_1
0,10.35616438,69.43561644,OLI,4,4,3,oli073_1
0.009944274,-30.90410959,46.65205479,PIC,2,1,3,pic001_1
0,-30.83835616,46.71780822,PIC,2,1,3,pic003_1
0,-30.24657534,47.30958904,PIC,2,1,3,pic007_1
0,-30.21369863,47.34246575,PIC,2,1,3,pic008_1
0.02633326,-30.18082192,47.37534247,PIC,2,1,1.5,pic009_1
0,-30.01643836,47.53972603,PIC,2,1,3,pic010_1
0,-29.95068493,47.60547945,PIC,2,1,3,pic012_1
0,-29.78630137,47.76986301,PIC,2,1,1.5,pic013_1
0.18315339,-29.75342466,47.80273973,PIC,2,1,3,pic014_1
0.059097525,-24.62465753,52.93150685,PIC,2,1,3,pic018_1
0.112776321,-24.49315068,53.0630137,PIC,2,1,1.5,pic019_1
0,-24.46027397,53.09589041,PIC,2,1,3,pic020_1
0,-24.42739726,53.12876712,PIC,2,1,3,pic021_1
0.030186423,-24.39452055,53.16164384,PIC,2,1,3,pic022_1
0,-24.2630137,53.29315068,PIC,2,1,1.5,pic023_1
0.028971302,-24.23013699,53.3260274,PIC,2,1,3,pic024_1
0,-24.16438356,53.39178082,PIC,2,1,3,pic026_1
0.398141187,-24,53.55616438,PIC,2,1,3,pic028_1
0,-23.93424658,53.62191781,PIC,2,1,3,pic030_1
0,-20.31780822,57.23835616,PIC,3,1,1.5,pic031_1
0.021381798,-20.28493151,57.27123288,PIC,3,1,3,pic032_1
0.022853779,-20.12054795,57.43561644,PIC,3,1,1.5,pic033_1
0.084382473,-20.05479452,57.50136986,PIC,3,1,3,pic035_1
0,-19.85753425,57.69863014,PIC,3,1,3,pic036_1
0.054959307,-19.66027397,57.89589041,PIC,3,1,1.5,pic037_1
