Task,percorr,percorr_class_1,percorr_class_2,percorr_class_3,percorr_class_4,percorr_class_5,percorr_class_6,percorr_class_7,percorr_class_8,ID,mature,age
ODR3,0.857142857,1,0.857142857,0.75,0.857142857,0.666666667,1,0.857142857,1,OLI,-12.65753425,46.42191781
ODR3,0.816666667,1,1,0.375,0.857142857,1,1,1,1,OLI,-12.62465753,46.45479452
ODR3,0.816091954,1,0.75,0.4,0.9,1,1,1,1,OLI,-12.59178082,46.48767123
ODR3,0.906666667,1,1,0.615384615,1,0.9,1,1,0.9,OLI,-12.46027397,46.61917808
ODR3,0.82278481,1,0.8,0.421052632,1,1,1,1,0.9,OLI,-12.42739726,46.65205479
ODR3,0.780487805,1,0.571428571,0.533333333,0.727272727,0.888888889,0.888888889,1,1,OLI,-12.39452055,46.68493151
ODR3,0.788888889,1,0.75,0.363636364,1,0.818181818,1,1,1,OLI,-12.36164384,46.71780822
ODR3,0.752941176,0.888888889,0.615384615,0.5,0.888888889,0.8,0.8,0.888888889,0.888888889,OLI,-12,47.07945205
ODR3,0.577464789,0.833333333,0.625,0.227272727,0.454545455,0.714285714,0.833333333,1,1,OLI,-11.96712329,47.11232877
ODR,0.607843137,0.875,0.388888889,0.4,0.8,0.888888889,0.571428571,0.533333333,1,OLI,-11.93424658,47.14520548
ODR3,0.774193548,1,0.857142857,0.4,0.75,1,0.857142857,1,0.857142857,OLI,-11.90136986,47.17808219
ODR3,0.88,1,0.8,0.888888889,0.727272727,1,1,0.727272727,1,OLI,-11.90136986,47.17808219
ODR3,0.913580247,0.909090909,0.9,0.818181818,1,1,0.9,0.9,0.9,OLI,-10.84931507,48.23013699
ODR,0.618421053,0.75,0.714285714,0.25,0.545454545,1,0.857142857,0.857142857,1,OLI,-10.81643836,48.2630137
ODR3,0.853333333,1,0.727272727,0.727272727,0.8,0.727272727,1,1,1,OLI,-10.75068493,48.32876712
ODR3,0.909090909,1,0.909090909,0.666666667,1,1,0.909090909,1,0.909090909,OLI,-10.61917808,48.46027397
ODR,0.955223881,1,1,0.888888889,1,0.8,1,1,1,OLI,-10.58630137,48.49315068
ODR3,0.876712329,0.888888889,0.888888889,0.888888889,0.727272727,1,0.888888889,0.8,1,OLI,-10.55342466,48.5260274
ODR3,0.890410959,0.9,0.888888889,0.615384615,1,1,1,0.888888889,1,OLI,-10.52054795,48.55890411
ODR3,0.930555556,1,1,0.818181818,0.888888889,1,1,1,0.8,OLI,-10.35616438,48.72328767
ODR,0.853658537,0.9,1,0.666666667,0.9,0.888888889,1,0.818181818,0.75,OLI,-10.32328767,48.75616438
ODR3,0.891891892,1,1,0.727272727,1,1,1,0.666666667,0.888888889,OLI,-10.29041096,48.7890411
ODR,0.444444444,0.461538462,0.545454545,0.375,0.666666667,0.5,0.857142857,0.272727273,0.333333333,OLI,-5.589041096,53.49041096
ODR3,0.851851852,1,1,0.8,0.9,0.8,1,0.5625,1,OLI,-5.556164384,53.52328767
ODR,0.769230769,0.769230769,0.714285714,0.689655172,0.869565217,0.769230769,0.833333333,0.909090909,0.666666667,OLI,-5.556164384,53.52328767
ODR3,0.889908257,1,0.923076923,0.764705882,1,0.857142857,0.857142857,0.923076923,0.857142857,OLI,-5.523287671,53.55616438
ODR3,0.984615385,1,1,0.888888889,1,1,1,1,1,OLI,-5.490410959,53.5890411
ODR3,0.927536232,1,0.888888889,1,1,1,0.8,0.8,1,OLI,-5.457534247,53.62191781
ODR,0.909090909,1,0.909090909,1,0.909090909,1,0.909090909,0.714285714,0.909090909,OLI,-5.326027397,53.75342466
ODR3,0.941176471,0.888888889,0.8,1,1,1,1,1,0.888888889,OLI,-5.293150685,53.78630137
ODR3,0.96969697,1,0.888888889,0.888888889,1,1,1,1,1,OLI,-5.260273973,53.81917808
ODR3,0.985507246,1,1,0.888888889,1,1,1,1,1,OLI,-5.22739726,53.85205479
ODR,0.927536232,1,1,1,1,1,0.888888889,0.727272727,0.888888889,OLI,-5.063013699,54.01643836
ODR3,0.970149254,1,0.888888889,1,1,1,1,0.888888889,1,OLI,-5.030136986,54.04931507
ODR,0.914285714,1,1,0.8,0.8,0.888888889,1,1,0.888888889,OLI,-0.723287671,58.35616438
ODR3,0.971428571,1,1,0.9,1,0.9,1,1,1,OLI,-0.690410959,58.3890411
ODR3,0.96969697,1,1,0.888888889,1,1,1,0.888888889,1,OLI,-0.657534247,58.42191781
