ID,Task,mature,age,percorr,percorr_class_1,percorr_class_2,percorr_class_3,percorr_class_4,percorr_class_5,percorr_class_6,percorr_class_7,percorr_class_8,percorr_class_9,percorr_class_10,percorr_class_11,percorr_class_12,percorr_class_13,percorr_class_14,percorr_class_15,percorr_class_16,percorr_class_17,percorr_class_18,percorr_class_19,percorr_class_20
OLI,ODRdistractor_cardinal,-12.83333333,47.06666667,0.529411765,0.9,0.75,0.818181818,1,1,0.818181818,0.6,0.173076923,0.818181818,0.75,0.642857143,0.9,0.692307692,0.818181818,0.9,0.346153846,0.257142857,0.2,0.818181818,0.692307692
OLI,ODRdistractor_diagonal,-12.8,47.1,0.623188406,0.666666667,0.5,0.4,1,0.666666667,1,1,1,1,1,1,1,1,1,1,1,0.222222222,0.5,1,0.166666667
OLI,ODRdistractor_diagonal,-12.8,47.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
OLI,ODRdistractor_diagonal,-12.76666667,47.13333333,0.73255814,1,1,0.75,1,1,0.818181818,1,0.36,0.909090909,1,0.75,0.9,0.3,0.818181818,0.769230769,1,0.909090909,0.409090909,0.818181818,0.909090909
OLI,ODRdistractor_cardinal,-12.63333333,47.26666667,0.570200573,0.769230769,1,0.769230769,1,1,0.588235294,0.277777778,0.111111111,0.714285714,0.555555556,1,1,0.625,1,1,0.666666667,0.769230769,0.5,0.909090909,0.833333333
OLI,ODRdistractor_diagonal,-12.6,47.3,0.722021661,0.588235294,0.5,0.344827586,1,0.714285714,1,0.769230769,0.714285714,0.909090909,1,0.833333333,0.769230769,0.526315789,1,1,0.588235294,0.909090909,0.833333333,0.714285714,0.909090909
OLI,ODRdistractor_cardinal,-12.56666667,47.33333333,0.673400673,1,1,1,1,0.909090909,0.526315789,0.454545455,0.169491525,0.5,0.625,1,1,1,0.909090909,1,1,0.909090909,0.714285714,1,0.714285714
OLI,ODRdistractor_cardinal,-12.53333333,47.36666667,0.769784173,1,1,1,0.846153846,1,0.666666667,0.55,0.34375,0.416666667,0.625,1,1,0.916666667,0.846153846,0.916666667,1,0.916666667,1,1,0.846153846
OLI,ODRdistractor_diagonal,-12.16666667,47.73333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
OLI,ODRdistractor_diagonal,-12.16666667,47.73333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
