predictor,fit,model_name
-30.90410959,0.354614472,ACR
-30.42092155,0.354849239,ACR
-29.9377335,0.355082873,ACR
-29.45454546,0.355315476,ACR
-28.97135741,0.35554715,ACR
-28.48816937,0.355777998,ACR
-28.00498132,0.356008122,ACR
-27.52179328,0.356237633,ACR
-27.03860523,0.35646668,ACR
-26.55541719,0.356695423,ACR
-26.07222914,0.356924021,ACR
-25.5890411,0.357152633,ACR
-25.10585305,0.357381419,ACR
-24.62266501,0.357610553,ACR
-24.13947696,0.357840323,ACR
-23.65628892,0.358071089,ACR
-23.17310087,0.358303342,ACR
-22.68991283,0.358537653,ACR
-22.20672478,0.358774593,ACR
-21.72353674,0.35901474,ACR
-21.24034869,0.359258809,ACR
-20.75716065,0.359507626,ACR
-20.2739726,0.359762132,ACR
-19.79078456,0.360023376,ACR
-19.30759651,0.360292412,ACR
-18.82440847,0.360570294,ACR
-18.34122042,0.360858104,ACR
-17.85803238,0.361156969,ACR
-17.37484433,0.361468001,ACR
-16.89165629,0.361792293,ACR
-16.40846824,0.362130936,ACR
-15.9252802,0.362485017,ACR
-15.44209215,0.362855628,ACR
-14.95890411,0.363243857,ACR
-14.47571607,0.36365071,ACR
-13.99252802,0.364076933,ACR
-13.50933998,0.364523218,ACR
-13.02615193,0.364990262,ACR
-12.54296389,0.365478683,ACR
-12.05977584,0.365988755,ACR
-11.5765878,0.366520588,ACR
-11.09339975,0.367073946,ACR
-10.61021171,0.367648468,ACR
-10.12702366,0.368243793,ACR
-9.643835617,0.36885956,ACR
-9.160647572,0.369495407,ACR
-8.677459527,0.370150956,ACR
-8.194271482,0.370825622,ACR
-7.711083437,0.371518686,ACR
-7.227895392,0.372229429,ACR
-6.744707348,0.37295713,ACR
-6.261519303,0.37370107,ACR
-5.778331258,0.374460527,ACR
-5.295143213,0.37523474,ACR
-4.811955168,0.376022905,ACR
-4.328767123,0.376824214,ACR
-3.845579078,0.377637862,ACR
-3.362391034,0.37846304,ACR
-2.879202989,0.379298943,ACR
-2.396014944,0.38014479,ACR
-1.912826899,0.380999849,ACR
-1.429638854,0.381863425,ACR
-0.946450809,0.382734885,ACR
-0.463262765,0.383613608,ACR
0.01992528,0.38449897,ACR
0.503113325,0.385390369,ACR
0.98630137,0.38628727,ACR
1.469489415,0.387189152,ACR
1.95267746,0.388095496,ACR
2.435865505,0.38900578,ACR
2.919053549,0.389919486,ACR
3.402241594,0.390836098,ACR
3.885429639,0.391755151,ACR
4.368617684,0.392676202,ACR
4.851805729,0.393598851,ACR
5.334993774,0.394522722,ACR
5.818181818,0.395447437,ACR
6.301369863,0.396372624,ACR
6.784557908,0.397297956,ACR
7.267745953,0.398223148,ACR
7.750933998,0.399147963,ACR
8.234122043,0.400072212,ACR
8.717310088,0.400995707,ACR
