predictor,fit
-30.90410959,0.303332048
-30.42092155,0.301747302
-29.9377335,0.300163704
-29.45454546,0.298582399
-28.97135741,0.297004536
-28.48816937,0.295431261
-28.00498132,0.293863722
-27.52179328,0.292303065
-27.03860523,0.290750438
-26.55541719,0.289206988
-26.07222914,0.287673862
-25.5890411,0.286152206
-25.10585305,0.284643169
-24.62266501,0.283147897
-24.13947696,0.281667538
-23.65628892,0.280203238
-23.17310087,0.278756145
-22.68991283,0.277327405
-22.20672478,0.275918166
-21.72353674,0.274529575
-21.24034869,0.273162779
-20.75716065,0.271818924
-20.2739726,0.270499159
-19.79078456,0.269204631
-19.30759651,0.267936486
-18.82440847,0.266695871
-18.34122042,0.265483934
-17.85803238,0.264301821
-17.37484433,0.263150681
-16.89165629,0.262031659
-16.40846824,0.260945903
-15.9252802,0.25989456
-15.44209215,0.258878778
-14.95890411,0.257899703
-14.47571607,0.256958482
-13.99252802,0.256056263
-13.50933998,0.255194193
-13.02615193,0.254373418
-12.54296389,0.253595086
-12.05977584,0.252860344
-11.5765878,0.252170339
-11.09339975,0.251526218
-10.61021171,0.250929115
-10.12702366,0.250379467
-9.643835617,0.249876706
-9.160647572,0.249420185
-8.677459527,0.249009255
-8.194271482,0.248643269
-7.711083437,0.248321579
-7.227895392,0.248043538
-6.744707348,0.247808498
-6.261519303,0.247615812
-5.778331258,0.247464831
-5.295143213,0.247354909
-4.811955168,0.247285397
-4.328767123,0.247255633
-3.845579078,0.247263712
-3.362391034,0.247305596
-2.879202989,0.247377037
-2.396014944,0.247473784
-1.912826899,0.247591591
-1.429638854,0.247726208
-0.946450809,0.247873387
-0.463262765,0.248028878
0.01992528,0.248188433
0.503113325,0.248347804
0.98630137,0.248502742
1.469489415,0.248648998
1.95267746,0.248782323
2.435865505,0.248898469
2.919053549,0.248993187
3.402241594,0.249062228
3.885429639,0.249101345
4.368617684,0.249106287
4.851805729,0.249072806
5.334993774,0.248996654
5.818181818,0.248874472
6.301369863,0.24870703
6.784557908,0.248496297
7.267745953,0.248244239
7.750933998,0.247952824
8.234122043,0.247624021
8.717310088,0.247259798
9.200498132,0.246862121
9.683686177,0.246432959
10.16687422,0.24597428
10.65006227,0.245488052
11.13325031,0.244976242
11.61643836,0.244440818
12.0996264,0.243883748
12.58281445,0.243307
13.06600249,0.242712541
13.54919054,0.24210234
14.03237858,0.241478365
14.51556663,0.240842582
14.99875467,0.24019696
15.48194272,0.239543467
15.96513076,0.238884071
16.44831881,0.238220739
16.93150685,0.237555439
