predictor,fit,model_name
-30.90410959,1.656560277,anterior_cingulate_gyrus
-30.42092155,1.656519508,anterior_cingulate_gyrus
-29.9377335,1.656478521,anterior_cingulate_gyrus
-29.45454546,1.656437419,anterior_cingulate_gyrus
-28.97135741,1.656396276,anterior_cingulate_gyrus
-28.48816937,1.656355093,anterior_cingulate_gyrus
-28.00498132,1.656313854,anterior_cingulate_gyrus
-27.52179328,1.656272545,anterior_cingulate_gyrus
-27.03860523,1.656231148,anterior_cingulate_gyrus
-26.55541719,1.656189649,anterior_cingulate_gyrus
-26.07222914,1.656148023,anterior_cingulate_gyrus
-25.5890411,1.656106202,anterior_cingulate_gyrus
-25.10585305,1.656064099,anterior_cingulate_gyrus
-24.62266501,1.656021597,anterior_cingulate_gyrus
-24.13947696,1.655978557,anterior_cingulate_gyrus
-23.65628892,1.655934841,anterior_cingulate_gyrus
-23.17310087,1.655890308,anterior_cingulate_gyrus
-22.68991283,1.655844815,anterior_cingulate_gyrus
-22.20672478,1.655798207,anterior_cingulate_gyrus
-21.72353674,1.655750331,anterior_cingulate_gyrus
-21.24034869,1.655701034,anterior_cingulate_gyrus
-20.75716065,1.655650165,anterior_cingulate_gyrus
-20.2739726,1.655597577,anterior_cingulate_gyrus
-19.79078456,1.65554312,anterior_cingulate_gyrus
-19.30759651,1.655486656,anterior_cingulate_gyrus
-18.82440847,1.655428048,anterior_cingulate_gyrus
-18.34122042,1.655367163,anterior_cingulate_gyrus
-17.85803238,1.655303868,anterior_cingulate_gyrus
-17.37484433,1.655238017,anterior_cingulate_gyrus
-16.89165629,1.655169466,anterior_cingulate_gyrus
-16.40846824,1.655098068,anterior_cingulate_gyrus
-15.9252802,1.655023678,anterior_cingulate_gyrus
-15.44209215,1.654946136,anterior_cingulate_gyrus
-14.95890411,1.654865191,anterior_cingulate_gyrus
-14.47571607,1.654780535,anterior_cingulate_gyrus
-13.99252802,1.654691824,anterior_cingulate_gyrus
-13.50933998,1.654598678,anterior_cingulate_gyrus
-13.02615193,1.654500681,anterior_cingulate_gyrus
-12.54296389,1.654397399,anterior_cingulate_gyrus
-12.05977584,1.654288359,anterior_cingulate_gyrus
-11.5765878,1.654173055,anterior_cingulate_gyrus
