mature,age,ID,age_group,mature_group,delay,sess,rate_1,rate_2,rate_3,sd_1,sd_2,sd_3,cv_1,cv_2,cv_3,rate_adj_1,rate_adj_2,rate_adj_3
-8.252054795,48.23013699,QUA,2,2,1.5,QUA001_1,2.941176471,3.970588235,3.245098039,2.284956721,3.093367115,2.434970244,1.670721043,0.964903504,1.542651956,1.733328181,1.900444961,1.785637412
-8.219178082,48.2630137,QUA,2,2,1.5,QUA002_1,8.997175141,15.65801554,11.28325094,0.675352642,1.090634736,0.652545551,1.879242133,1.51740485,1.228321038,2.460909078,2.911061648,2.639166807
-8.18630137,48.29589041,QUA,2,2,1.5,QUA003_1,7.186619718,7.795774648,8.016431925,3.963921803,3.430482365,3.002078422,1.489092317,1.668248273,1.263720758,2.29302974,2.352713074,2.373482766
-8.153424658,48.32876712,QUA,2,2,1.5,QUA004_1,2.666666667,4.958333333,4.347222222,1.527525232,4.130448651,2.21032167,0.705011645,0.799441674,0.750675284,1.683607746,2.038178716,1.955224358
-6.805479452,49.67671233,QUA,2,3,1.5,QUA008_1,3.706382979,3.659574468,3.270921986,0.754879287,1.016059756,1.076190905,2.365288433,2.387740427,2.050579968,1.860144459,1.852832037,1.789958484
-6.77260274,49.70958904,QUA,2,3,1.5,QUA009_1,1.96875,3.1875,2.541666667,3.788644962,4.788679527,5.128981538,1.924391092,1.502330832,2.017959949,1.54479951,1.775931842,1.660121235
-2.991780822,53.49041096,QUA,2,3,0,QUA018_1,1.669921875,2.48828125,2.016927083,0,0,0,0,0,0,1.478919964,1.64991996,1.555025846
-2.926027397,53.55616438,QUA,2,3,0,QUA020_1,0,0,0,0,0,0,0,0,0,1,1,1
-2.893150685,53.5890411,QUA,2,3,1.5,QUA021_1,1.9,2.2375,1.872916667,1.016603238,0.25,0.55990362,5.914782474,8,5.37507475,1.530022737,1.600554941,1.5241411
-2.860273973,53.62191781,QUA,2,3,1.5,QUA022_1,3.671875,2.6875,2.75,2.197073721,3.231172572,1.595849997,0.598351992,1.202296771,0.58030909,1.854758811,1.68746909,1.698964459
-2.728767123,53.75342466,QUA,2,3,1.5,QUA023_1,2.407142857,2.30625,2.225892857,1.338438886,2.069238032,0.867233738,1.278508786,1.742516237,1.20658607,1.634213387,1.614332281,1.598210052
-2.695890411,53.78630137,QUA,2,3,1.5,QUA024_1,0.479166667,1.152777778,1.439814815,0.490603189,0.713347915,0.53243867,2.616550343,2.445764281,1.666764533,1.162353146,1.35352827,1.425057432
-2.663013699,53.81917808,QUA,2,3,1.5,QUA025_1,2.903448276,3.04137931,1.271264368,1.437127605,5.105066698,1.109698638,1.543581502,1.213499461,1.609063026,1.726639464,1.750878643,1.383677489
-2.630136986,53.85205479,QUA,2,3,1.5,QUA026_1,1.295774648,1.671361502,3.251956182,0.457004506,0.893526912,1.716765477,2.495947688,2.643350447,1.56269678,1.38980232,1.479247978,1.786786794
-2.498630137,53.98356164,QUA,2,3,1.5,QUA027_1,3.504650298,3.82328869,3.773189484,0.350382444,0.604217978,0.287910431,2.491608491,4.833743825,2.303283447,1.828241199,1.878177277,1.87048921
-2.465753425,54.01643836,QUA,2,3,1.5,QUA028_1,1.859848485,1.939393939,0.909090909,2.505750961,2.773332885,1.155193895,1.425685892,2.128371749,1.485249293,1.521290686,1.538516561,1.288508622
-12.62465753,46.45479452,OLI,2,2,3,oli002_1,1.636054422,1.789115646,1.869614512,3.885915611,3.910999663,2.880985176,1.2693991,1.127288138,0.697701517,1.471172188,1.50571993,1.523421605
-12.39452055,46.68493151,OLI,2,2,3,oli006_1,3.333333333,2.466666667,2.177777778,2.745947903,4.057630813,1.639393714,0.823784371,1.644985465,0.752782828,1.800325205,1.645759908,1.58843072
-11.96712329,47.11232877,OLI,2,2,3,oli009_1,0.890243902,1.414634146,1.235772358,1.138034249,2.116140066,0.887812695,0.972070921,1.141601878,0.606672009,1.283299304,1.418983205,1.374741429
-11.93424658,47.14520548,OLI,2,2,1.5,oli010_1,0.483870968,0.35483871,0.440860215,0.671234133,0.851166494,0.638115947,1.387217209,2.398741936,1.447433734,1.163823332,1.122693507,1.150300486
-10.84931507,48.23013699,OLI,2,2,3,oli013_1,1.845992015,1.493703931,1.510957548,1.035111113,1.263798333,0.863522048,1.531964448,1.73187179,1.221031177,1.518259431,1.437934213,1.442022161
-10.81643836,48.2630137,OLI,2,2,1.5,oli014_1,0.255319149,0.340425532,0.241134752,0.440754546,0.961805271,0.403499952,1.726288639,2.825302985,1.673338034,1.089773669,1.117992395,1.084992148
-10.75068493,48.32876712,OLI,2,2,0,oli015_1,0,0,0,0,0,0,0,0,0,1,1,1
-10.61917808,48.46027397,OLI,2,2,3,oli016_1,2.775,4.125,5.370833333,3.623739414,6.123155884,2.952971756,0.956762882,0.94566114,0.313312653,1.70352586,1.923267416,2.090519351
-10.58630137,48.49315068,OLI,2,2,1.5,oli017_1,0.125,0.09375,0.03125,0.454256763,0.426084052,0.142028017,3.634054101,4.544896551,4.544896551,1.044958958,1.033907293,1.011430653
-10.55342466,48.5260274,OLI,2,2,3,oli018_1,0.865625,0.8875,0.9375,1.083791112,2.537809329,1.351225438,2.167582224,2.137102593,2.518789167,1.276453498,1.282538621,1.296309977
-10.52054795,48.55890411,OLI,2,2,3,oli019_1,2.998717949,3.58974359,3.167094017,1.763273834,1.655410709,0.898122448,2.247309789,2.690042402,1.29728798,1.743444153,1.841822699,1.772470604
-10.32328767,48.75616438,OLI,2,2,1.5,oli022_1,4.628571429,7.2,7.285714286,3.996996802,6.482082328,5.168119077,0.863548692,0.900289212,0.709349677,1.994272093,2.294379704,2.302984625
