ID,DI,DI_1,DI_2,DI_3,DI_4,DI_5,DI_6,DI_7,DI_8,class_weight_1,class_weight_2,class_weight_3,class_weight_4,class_weight_5,class_weight_6,class_weight_7,class_weight_8,mature,age
OLI,16.56672763,4.371348814,33.48089979,23.64311651,35.49369543,16.87456693,3.574226282,2.617084589,11.4954089,0.113207547,0.113207547,0.113207547,0.132075472,0.169811321,0.113207547,0.132075472,0.113207547,-12.65753425,46.42191781
OLI,2.96179758,5.413594275,6.478081336,3.389612129,1.035220012,1.341303898,2.333960168,2.308120507,1.178502321,0.101694915,0.101694915,0.254237288,0.118644068,0.101694915,0.118644068,0.101694915,0.101694915,-12.62465753,46.45479452
OLI,7.49175454,3.549766373,28.81454229,4.979709348,7.429347901,2.416285674,2.970779184,4.006373812,1.736847351,0.103448276,0.137931034,0.229885057,0.114942529,0.103448276,0.103448276,0.103448276,0.103448276,-12.59178082,46.48767123
OLI,5.407911204,11.89734376,7.625502573,4.937600706,2.44197285,1.319232706,3.474898217,0.894574074,10.86550628,0.108108108,0.108108108,0.175675676,0.108108108,0.135135135,0.121621622,0.108108108,0.135135135,-12.46027397,46.61917808
OLI,10.66876221,4.97014056,26.92386783,23.97860257,1.217129688,0.609727779,3.287912796,2.094672949,2.056341747,0.101265823,0.126582278,0.240506329,0.101265823,0.101265823,0.101265823,0.101265823,0.126582278,-12.42739726,46.65205479
OLI,25.15088603,24.97374334,55.35777412,18.85032623,34.87817612,2.131099604,32.09810689,2.272281038,7.343353868,0.101265823,0.17721519,0.189873418,0.126582278,0.101265823,0.113924051,0.088607595,0.101265823,-12.39452055,46.68493151
OLI,27.33816463,32.95596238,38.79125088,56.99225699,3.653469843,31.31545915,2.295785074,1.825654736,3.340250335,0.1,0.133333333,0.244444444,0.1,0.122222222,0.1,0.1,0.1,-12.36164384,46.71780822
OLI,52.64864095,39.39674545,158.2567772,48.2739435,5.759272185,95.5884966,17.7141962,20.17495668,14.63048259,0.111111111,0.135802469,0.197530864,0.098765432,0.111111111,0.12345679,0.111111111,0.111111111,-12,47.07945205
OLI,39.01927876,7.127135212,6.222326962,33.8102598,2.729556047,259.4820405,10.43610933,2.398418985,2.119015818,0.084507042,0.112676056,0.309859155,0.154929577,0.098591549,0.084507042,0.084507042,0.070422535,-11.96712329,47.11232877
OLI,26.46560629,2.795352079,23.4428044,66.25571693,21.22813344,24.1899693,26.79947508,3.698332266,5.827280006,0.079207921,0.178217822,0.198019802,0.099009901,0.089108911,0.138613861,0.138613861,0.079207921,-11.93424658,47.14520548
OLI,25.96255703,9.176736457,29.52215394,74.73496689,4.97314206,1.710938698,16.32633212,4.943475458,1.703358367,0.098360656,0.114754098,0.245901639,0.131147541,0.098360656,0.114754098,0.081967213,0.114754098,-11.90136986,47.17808219
OLI,13.69642127,13.26513312,40.38267593,11.69849015,3.697687506,11.03440881,20.87627433,3.444426222,9.063447963,0.123287671,0.123287671,0.123287671,0.136986301,0.109589041,0.109589041,0.150684932,0.123287671,-11.90136986,47.17808219
