ID,RT,class_weight_1,class_weight_2,class_weight_3,class_weight_4,class_weight_5,class_weight_6,class_weight_7,class_weight_8,RT_1,RT_2,RT_3,RT_4,RT_5,RT_6,RT_7,RT_8,mature,age
OLI,0.361509434,0.113207547,0.113207547,0.113207547,0.132075472,0.169811321,0.113207547,0.132075472,0.113207547,0.375333333,0.346,0.38,0.377142857,0.358222222,0.340666667,0.347428571,0.368666667,-12.65753425,46.42191781
OLI,0.313220339,0.101694915,0.101694915,0.254237288,0.118644068,0.101694915,0.118644068,0.101694915,0.101694915,0.289333333,0.329333333,0.3256,0.305714286,0.312,0.288,0.328,0.314666667,-12.62465753,46.45479452
OLI,0.305241379,0.103448276,0.137931034,0.229885057,0.114942529,0.103448276,0.103448276,0.103448276,0.103448276,0.293333333,0.315666667,0.3202,0.2936,0.291555556,0.298666667,0.307555556,0.300888889,-12.59178082,46.48767123
OLI,0.309513514,0.108108108,0.108108108,0.175675676,0.108108108,0.135135135,0.121621622,0.108108108,0.135135135,0.304,0.3265,0.332923077,0.29,0.3044,0.296444444,0.309,0.3028,-12.46027397,46.61917808
OLI,0.313417722,0.101265823,0.126582278,0.240506329,0.101265823,0.101265823,0.101265823,0.101265823,0.126582278,0.292,0.332,0.333473684,0.304,0.2845,0.3085,0.3105,0.3108,-12.42739726,46.65205479
OLI,0.306582278,0.101265823,0.17721519,0.189873418,0.126582278,0.101265823,0.113924051,0.088607595,0.101265823,0.3095,0.306857143,0.316533333,0.3024,0.3155,0.283111111,0.298285714,0.3145,-12.39452055,46.68493151
OLI,0.307066667,0.1,0.133333333,0.244444444,0.1,0.122222222,0.1,0.1,0.1,0.296444444,0.322666667,0.315090909,0.281333333,0.312727273,0.289777778,0.331555556,0.288888889,-12.36164384,46.71780822
OLI,0.337135802,0.111111111,0.135802469,0.197530864,0.098765432,0.111111111,0.12345679,0.111111111,0.111111111,0.329333333,0.344363636,0.3545,0.3065,0.336888889,0.3212,0.337777778,0.349777778,-12,47.07945205
OLI,0.307661972,0.084507042,0.112676056,0.309859155,0.154929577,0.098591549,0.084507042,0.084507042,0.070422535,0.306,0.309,0.302545455,0.303272727,0.309142857,0.307333333,0.31,0.3352,-11.96712329,47.11232877
OLI,0.312237624,0.079207921,0.178217822,0.198019802,0.099009901,0.089108911,0.138613861,0.138613861,0.079207921,0.3065,0.3,0.3174,0.3248,0.331555556,0.307142857,0.319142857,0.292,-11.93424658,47.14520548
OLI,0.299016393,0.098360656,0.114754098,0.245901639,0.131147541,0.098360656,0.114754098,0.081967213,0.114754098,0.282666667,0.285714286,0.313866667,0.2875,0.292,0.297714286,0.3088,0.308,-11.90136986,47.17808219
OLI,0.308,0.123287671,0.123287671,0.123287671,0.136986301,0.109589041,0.109589041,0.150684932,0.123287671,0.317777778,0.284888889,0.292,0.294,0.3055,0.319,0.34,0.306222222,-11.90136986,47.17808219
OLI,0.320693333,0.133333333,0.106666667,0.133333333,0.12,0.133333333,0.133333333,0.12,0.12,0.34,0.2925,0.2972,0.313333333,0.332,0.2904,0.378222222,0.321333333,-10.84931507,48.23013699
OLI,0.308054795,0.109589041,0.082191781,0.315068493,0.136986301,0.082191781,0.095890411,0.095890411,0.082191781,0.332,0.333333333,0.304869565,0.3,0.254,0.315428571,0.32,0.308,-10.81643836,48.2630137
OLI,0.318756757,0.108108108,0.135135135,0.148648649,0.135135135,0.148648649,0.108108108,0.108108108,0.108108108,0.3025,0.296,0.343636364,0.3424,0.310909091,0.3085,0.326,0.3135,-10.75068493,48.32876712
OLI,0.310666667,0.114942529,0.126436782,0.16091954,0.114942529,0.114942529,0.126436782,0.114942529,0.126436782,0.3128,0.322545455,0.301142857,0.296,0.3012,0.304363636,0.3356,0.314545455,-10.61917808,48.46027397
OLI,0.318666667,0.121212121,0.121212121,0.136363636,0.121212121,0.136363636,0.121212121,0.121212121,0.121212121,0.3015,0.311,0.330666667,0.3255,0.325777778,0.2965,0.3375,0.3185,-10.58630137,48.49315068
OLI,0.303757576,0.136363636,0.106060606,0.121212121,0.166666667,0.121212121,0.121212121,0.121212121,0.106060606,0.297777778,0.294857143,0.334,0.294545455,0.2945,0.286,0.3255,0.306285714,-10.55342466,48.5260274
OLI,0.317753425,0.136986301,0.123287671,0.178082192,0.109589041,0.109589041,0.109589041,0.123287671,0.109589041,0.3332,0.306666667,0.338153846,0.3145,0.31,0.303,0.306666667,0.316,-10.52054795,48.55890411
OLI,0.322457143,0.128571429,0.1,0.142857143,0.128571429,0.114285714,0.114285714,0.128571429,0.142857143,0.342222222,0.316,0.3332,0.301777778,0.3085,0.3195,0.326666667,0.3268,-10.35616438,48.72328767
OLI,0.318567901,0.12345679,0.111111111,0.135802469,0.12345679,0.111111111,0.111111111,0.135802469,0.148148148,0.3204,0.317333333,0.315636364,0.3492,0.301333333,0.294666667,0.324727273,0.320333333,-10.32328767,48.75616438
OLI,0.304219178,0.109589041,0.123287671,0.136986301,0.123287671,0.109589041,0.109589041,0.164383562,0.123287671,0.3165,0.287111111,0.2836,0.312,0.311,0.294,0.321333333,0.305777778,-10.29041096,48.7890411
OLI,0.368043478,0.097826087,0.097826087,0.130434783,0.086956522,0.130434783,0.065217391,0.239130435,0.152173913,0.396,0.360888889,0.339666667,0.3565,0.405333333,0.364,0.349090909,0.385142857,-5.589041096,53.49041096
OLI,0.332410256,0.115384615,0.115384615,0.115384615,0.115384615,0.115384615,0.115384615,0.205128205,0.102564103,0.351555556,0.306666667,0.339111111,0.3,0.309333333,0.331555556,0.36625,0.328,-5.556164384,53.52328767
OLI,0.293578378,0.118918919,0.124324324,0.12972973,0.124324324,0.118918919,0.108108108,0.118918919,0.156756757,0.312727273,0.289217391,0.305166667,0.281043478,0.287818182,0.291,0.307454545,0.278482759,-5.556164384,53.52328767
OLI,0.32937037,0.111111111,0.12037037,0.148148148,0.111111111,0.12962963,0.12962963,0.12037037,0.12962963,0.358333333,0.317230769,0.34675,0.296,0.325714286,0.323428571,0.328923077,0.334571429,-5.523287671,53.55616438
OLI,0.318584615,0.123076923,0.123076923,0.138461538,0.123076923,0.123076923,0.123076923,0.123076923,0.123076923,0.329,0.3185,0.318666667,0.293,0.32,0.318,0.315,0.3365,-5.490410959,53.5890411
OLI,0.307768116,0.115942029,0.130434783,0.115942029,0.115942029,0.115942029,0.144927536,0.144927536,0.115942029,0.32,0.328444444,0.2995,0.2775,0.28,0.3112,0.324,0.314,-5.457534247,53.62191781
OLI,0.341976471,0.105882353,0.105882353,0.117647059,0.129411765,0.117647059,0.129411765,0.164705882,0.129411765,0.353777778,0.345777778,0.3348,0.299636364,0.3372,0.341818182,0.351714286,0.370181818,-5.326027397,53.75342466
OLI,0.316882353,0.132352941,0.147058824,0.117647059,0.117647059,0.117647059,0.117647059,0.117647059,0.132352941,0.319111111,0.3396,0.2975,0.3055,0.3135,0.3075,0.3275,0.318666667,-5.293150685,53.78630137
OLI,0.326030769,0.123076923,0.123076923,0.138461538,0.123076923,0.123076923,0.123076923,0.123076923,0.123076923,0.34,0.3495,0.366666667,0.2875,0.3275,0.308,0.3275,0.2965,-5.260273973,53.81917808
OLI,0.321913043,0.115942029,0.130434783,0.130434783,0.115942029,0.130434783,0.115942029,0.130434783,0.130434783,0.3205,0.307111111,0.329777778,0.3575,0.314222222,0.301,0.328,0.318666667,-5.22739726,53.85205479
OLI,0.323942029,0.115942029,0.115942029,0.115942029,0.115942029,0.115942029,0.130434783,0.15942029,0.130434783,0.3485,0.321,0.3165,0.2845,0.297,0.313777778,0.337454545,0.364,-5.063013699,54.01643836
