ID,DI,DI_1,DI_2,DI_3,DI_4,DI_5,DI_6,DI_7,DI_8,DI_9,DI_10,DI_11,DI_12,DI_13,DI_14,DI_15,DI_16,DI_17,DI_18,DI_19,DI_20,weekday,mature,age
OLI,73.44503613,57.33314084,94.75246164,67.49841605,11.76088438,24.28500514,103.2677574,43.474021,30.52838445,38.4894862,66.61932949,50.24599051,11.77954686,129.8160722,68.43270224,22.16208688,155.6382509,115.2322989,52.94875068,169.9804182,154.6557186,4,-12.65753425,46.42191781
UNI,73.04665685,42.32250657,35.73506338,40.54427994,3.899398318,106.3174627,8.284079228,149.7727327,47.99169448,12.0311422,3.833290094,2.556382693,6.72896211,57.93979364,25.33830707,6.315943781,145.0216391,156.8329467,180.4947169,297.0141997,131.9585957,5,-5.884931507,38.69589041
OLI,68.05617368,161.125082,184.8995418,206.9535721,12.59880321,181.2547217,2.153281589,15.43297717,4.431111214,2.660859794,0.947425946,191.5941558,2.247671762,10.45690527,72.59992619,30.60228528,56.51477304,137.8329453,46.46670956,38.28062902,2.07009596,5,-5.490410959,53.5890411
UNI,65.91786714,2.403837138,21.6353352,37.5274164,11.62040456,0.598273975,57.68392125,10.38076641,99.21001444,13.99355031,6.284222612,193.6614117,233.3386445,101.1617708,38.72454929,253.3622427,110.4534457,26.35971496,14.54839559,79.72091262,5.688512639,6,-5.161643836,39.41917808
OLI,63.81792752,7.718365635,180.3553513,217.7802763,223.4701731,2.528534993,8.63662498,3.666654766,232.2793833,4.873161547,64.82615543,12.63830456,1.085847078,38.46089694,2.143105788,20.90768508,21.45216022,0.836432528,39.09924302,71.66054535,121.9396485,4,4.832876712,63.91232877
ROS,62.45705278,222.8989996,220.1634081,67.24632225,59.43050873,13.90844012,8.278818217,137.289952,46.57541292,126.783299,5.726405311,37.84339724,29.94252569,25.4652663,134.4961864,37.35655576,14.5937771,18.56649481,33.35093719,3.114212107,6.110136762,5,-20.28493151,45.76438356
UNI,59.8473758,29.1799629,5.812910059,7.149571617,9.112243993,87.80681117,123.9278069,81.6237804,111.9430392,5.104857381,35.34137927,3.994624208,21.52584988,15.15976084,34.75550884,1.732705611,18.4560773,132.283768,180.7057149,66.53053906,224.8006045,4,-5.917808219,38.6630137
UNI,57.80026557,38.92952254,31.07996842,21.14989082,209.85127,15.15852222,14.34097007,404.0866676,3.083475509,34.24628859,1.36677631,9.66889868,0.372022531,25.96404288,23.91506983,43.53778968,56.86420718,23.48817189,20.63863279,14.60225467,163.6608691,4,4.898630137,49.47945205
PIC,50.74731861,168.8958792,3.190416858,10.23386709,110.3519092,38.11525446,72.25623391,100.9965778,8.99089064,9.238110763,14.61750414,57.60147272,74.53702586,63.18746188,48.24456895,40.21703644,16.20072511,55.12221505,43.47967331,69.16836397,10.30118494,4,-14.33424658,63.22191781
OLI,50.0432095,125.022653,102.4502201,134.3485397,7.301037829,10.0005365,3.774876292,22.34588723,26.30360421,26.1014535,1.786047424,70.7703725,98.45262159,90.01047577,2.637710533,2.191601044,139.4219892,20.95532519,69.22687167,40.49125829,7.271108418,4,-12.42739726,46.65205479
UNI,48.81565445,1.349483974,168.2995309,2.280593461,20.02527898,4.09767216,102.1662616,42.34627809,78.04903184,18.47936609,17.28356632,14.98402053,22.58127322,93.99068435,9.123208276,29.60510279,122.8357012,19.36262257,172.4272245,14.12561616,22.90057199,4,-4.767123288,39.81369863
UNI,48.57364858,21.27131669,104.3564713,17.87136669,48.29950204,128.4589605,6.782799893,9.859200062,53.78108202,4.377800827,6.305100963,3.602296726,5.375144186,25.37351966,117.7057883,3.9199406,29.4490918,128.918483,3.678206495,232.3114281,19.77547177,2,-5.063013699,39.51780822
