ID,session,mature,age,sex,hemi,anterior_cingulate_gyrus_contra,orbital_frontal_cortex_contra,lateral_prefrontal_cortex_contra,motor_cortex_contra,somatosensory_cortex_contra,superior_parietal_lobule_contra,inferior_parietal_lobule_contra,posterior_medial_cortex_contra,medial_temporal_lobe_contra,temporal_pole_contra,inferior_temporal_cortex_contra,superior_temporal_region_contra,core_and_belt_areas_of_auditory_cortex_contra,floor_of_the_lateral_sulcus_contra,middle_temporal_area_contra,extrastriate_visual_areas_2_4_contra,primary_visual_cortex_contra
OLI,1,-22.3,37.6,M,R,334.9363,652.3119,781.3696,1044.791,720.5134,503.6981,623.1731,388.4909,128.0648,100.2671,867.6484,405.3483,282.012,176.4958,55.87786,1828.743,1273.502
OLI,2,-18.3,41.6,M,R,337.8564,608.9645,763.6965,1074.535,731.9503,512.8703,651.717,390.6357,125.2498,97.99788,844.9691,401.0032,285.5315,171.9985,55.50407,1798.653,1257.356
OLI,3,-14.8,45.1,M,R,323.5989,630.54,833.3857,1121.5,756.6198,504.533,663.1878,390.2755,161.0815,92.98523,850.2079,420.0982,306.5323,155.6119,56.7506,1820.675,1250.778
OLI,4,-12,47.9,M,R,331.1957,628.4562,782.3274,1061.896,711.4818,493.7327,615.1561,379.3036,142.1637,111.354,867.7173,408.2026,284.8259,170.6571,53.9951,1793.874,1259.103
OLI,5,-8.8,51.1,M,R,337.6539,625.6757,814.334,1077.238,738.7535,485.4695,616.5158,378.107,133.9474,105.9807,899.7637,415.8983,300.3839,171.3293,52.46395,1832.232,1264.832
OLI,6,-5.8,54.1,M,R,330.1534,617.7516,735.5304,1072.457,712.5139,486.0241,599.5117,390.664,130.2902,96.62547,825.5961,395.7666,272.447,172.854,49.5863,1789.414,1245.27
OLI,7,-2.5,57.4,M,R,338.6128,606.5724,786.4639,1092.858,752.6342,500.7489,639.7021,384.2687,126.4711,101.6791,860.5289,409.7708,289.5128,172.1145,54.19477,1884.376,1288.958
OLI,8,0.5,60.4,M,R,332.2845,571.9772,742.3749,1054.055,732.6637,505.1687,625.9255,373.7111,121.4669,98.1954,856.3511,408.6933,289.1517,167.9725,52.96705,1833.146,1287.492
OLI,9,4.6,64.5,M,R,341.2642,624.8323,780.0991,1117.434,748.6366,511.2987,641.7229,405.5729,137.7457,108.3372,872.8764,416.4476,284.6916,176.8284,54.57164,1844.8,1302.279
OLI,10,6.7,66.6,M,R,321.5793,558.3092,730.7814,1061.072,721.137,510.8892,624.0132,380.568,129.3288,92.42774,838.8502,400.1209,286.4931,167.2029,51.06593,1830.577,1281.002
