ID,session,mature,age,sex,hemi,medial_temporal_lobe_contra,temporal_pole_contra,inferior_temporal_cortex_contra,superior_temporal_region_contra,core_and_belt_areas_of_auditory_cortex_contra,floor_of_the_lateral_sulcus_contra,middle_temporal_area_contra
OLI,1,-22.3,37.6,M,R,128.0648,100.2671,867.6484,405.3483,282.012,176.4958,55.87786
OLI,2,-18.3,41.6,M,R,125.2498,97.99788,844.9691,401.0032,285.5315,171.9985,55.50407
OLI,3,-14.8,45.1,M,R,161.0815,92.98523,850.2079,420.0982,306.5323,155.6119,56.7506
OLI,4,-12,47.9,M,R,142.1637,111.354,867.7173,408.2026,284.8259,170.6571,53.9951
OLI,5,-8.8,51.1,M,R,133.9474,105.9807,899.7637,415.8983,300.3839,171.3293,52.46395
OLI,6,-5.8,54.1,M,R,130.2902,96.62547,825.5961,395.7666,272.447,172.854,49.5863
OLI,7,-2.5,57.4,M,R,126.4711,101.6791,860.5289,409.7708,289.5128,172.1145,54.19477
OLI,8,0.5,60.4,M,R,121.4669,98.1954,856.3511,408.6933,289.1517,167.9725,52.96705
OLI,9,4.6,64.5,M,R,137.7457,108.3372,872.8764,416.4476,284.6916,176.8284,54.57164
OLI,10,6.7,66.6,M,R,129.3288,92.42774,838.8502,400.1209,286.4931,167.2029,51.06593
OLI,11,10.1,70,M,R,138.8295,96.23592,872.1274,403.5965,287.1809,163.8578,54.17202
PIC,1,-43.1,35.5,M,L,135.4011,116.4632,900.0803,395.6564,288.9501,164.0945,52.5027
PIC,2,-39.2,39.5,M,L,132.2985,122.427,927.7772,412.6872,295.1774,164.7478,54.74664
PIC,3,-35.7,43,M,L,137.6837,96.1388,862.6868,406.1242,303.7428,153.3852,55.36881
PIC,4,-32.8,45.8,M,L,127.1832,126.8299,929.3163,413.9502,300.9618,160.5656,55.10416
PIC,5,-29.6,49.1,M,L,136.7559,119.9414,908.5859,414.277,295.0639,164.2509,55.30201
PIC,6,-26.5,52.1,M,L,122.3985,111.4986,916.1039,419.8599,307.9515,169.1366,59.77002
PIC,7,-23.3,55.3,M,L,137.823,119.9364,930.2021,416.1686,298.4257,169.1082,58.75247
PIC,8,-20.3,58.3,M,L,134.7107,124.3634,915.6063,419.2229,298.7434,167.1837,56.75724
PIC,9,-15.9,62.8,M,L,129.563,115.7611,950.3304,433.7605,311.2048,158.7628,58.61556
