ID,session,mature,age,sex,hemi,anterior_cingulate_gyrus_contra,orbital_frontal_cortex_contra,lateral_prefrontal_cortex_contra,motor_cortex_contra,somatosensory_cortex_contra,superior_parietal_lobule_contra,inferior_parietal_lobule_contra,posterior_medial_cortex_contra,medial_temporal_lobe_contra,temporal_pole_contra,inferior_temporal_cortex_contra,superior_temporal_region_contra,core_and_belt_areas_of_auditory_cortex_contra,floor_of_the_lateral_sulcus_contra,middle_temporal_area_contra,extrastriate_visual_areas_2_4_contra,primary_visual_cortex_contra
OLI,1,-22.3,37.6,M,R,1.63877,1.690322,1.567375,1.856774,1.358026,1.223813,1.411629,1.644981,1.619323,1.723135,1.533985,1.458259,1.204392,1.153832,1.263265,1.201753,1.153457
OLI,2,-18.3,41.6,M,R,1.63667,1.637997,1.596698,1.948927,1.346941,1.216779,1.376404,1.612235,1.490995,1.722028,1.449649,1.418751,1.237957,1.30698,1.212568,1.183545,1.097902
OLI,3,-14.8,45.1,M,R,1.706936,1.699077,1.728021,2.048492,1.462266,1.312314,1.528614,1.792299,1.031773,1.055418,1.43352,1.569814,1.385487,1.319195,1.29722,1.298288,1.294207
OLI,4,-12,47.9,M,R,1.668551,1.682038,1.609222,1.883668,1.363346,1.212401,1.406182,1.647201,1.658315,1.686287,1.517574,1.41393,1.258674,1.280948,1.244516,1.210244,1.177364
OLI,5,-8.8,51.1,M,R,1.753803,1.68233,1.682202,1.927572,1.394642,1.240162,1.42698,1.714608,1.652589,1.647212,1.584165,1.44441,1.266518,1.325823,1.258775,1.223522,1.201374
OLI,6,-5.8,54.1,M,R,1.695023,1.738188,1.63969,1.966541,1.394102,1.289849,1.46865,1.779053,1.757325,1.85391,1.476541,1.427945,1.28024,1.361749,1.382194,1.261402,1.156002
OLI,7,-2.5,57.4,M,R,1.651061,1.636407,1.622933,1.98041,1.422475,1.256182,1.422472,1.699925,1.75178,1.661553,1.539008,1.419129,1.26662,1.319125,1.276052,1.223377,1.196676
OLI,8,0.5,60.4,M,R,1.481419,1.483146,1.561752,1.843697,1.397983,1.219487,1.416979,1.620767,1.549812,1.66203,1.479421,1.399639,1.258228,1.25395,1.246642,1.196248,1.108632
OLI,9,4.6,64.5,M,R,1.709445,1.611792,1.617268,1.961401,1.431703,1.233937,1.433224,1.686173,1.893815,1.695754,1.51187,1.407227,1.259878,1.240969,1.330057,1.221671,1.148323
OLI,10,6.7,66.6,M,R,1.554889,1.436651,1.527894,1.846425,1.364515,1.209744,1.406075,1.607225,1.696617,1.712421,1.450298,1.33672,1.202905,1.321599,1.25955,1.175048,1.138049
OLI,11,10.1,70,M,R,1.599103,1.574822,1.551071,1.987992,1.410996,1.255416,1.427523,1.746005,1.766689,1.781673,1.499473,1.416631,1.28424,1.319952,1.267453,1.226521,1.151966
PIC,1,-43.1,35.5,M,L,1.631711,1.671246,1.740412,2.02057,1.389966,1.353476,1.520373,1.709846,1.873848,1.915175,1.625176,1.626446,1.307485,1.242102,1.358798,1.275807,1.255859
