ID,session,mature,age,sex,hemi,extrastriate_visual_areas_2_4_contra,primary_visual_cortex_contra
OLI,1,-22.3,37.6,M,R,1.201753,1.153457
OLI,2,-18.3,41.6,M,R,1.183545,1.097902
OLI,3,-14.8,45.1,M,R,1.298288,1.294207
OLI,4,-12,47.9,M,R,1.210244,1.177364
OLI,5,-8.8,51.1,M,R,1.223522,1.201374
OLI,6,-5.8,54.1,M,R,1.261402,1.156002
OLI,7,-2.5,57.4,M,R,1.223377,1.196676
OLI,8,0.5,60.4,M,R,1.196248,1.108632
OLI,9,4.6,64.5,M,R,1.221671,1.148323
OLI,10,6.7,66.6,M,R,1.175048,1.138049
OLI,11,10.1,70,M,R,1.226521,1.151966
PIC,1,-43.1,35.5,M,L,1.275807,1.255859
PIC,2,-39.2,39.5,M,L,1.274438,1.213701
PIC,3,-35.7,43,M,L,1.289108,1.282179
PIC,4,-32.8,45.8,M,L,1.299808,1.218792
PIC,5,-29.6,49.1,M,L,1.280784,1.227421
PIC,6,-26.5,52.1,M,L,1.27445,1.285035
PIC,7,-23.3,55.3,M,L,1.292589,1.285879
PIC,8,-20.3,58.3,M,L,1.293134,1.267775
PIC,9,-15.9,62.8,M,L,1.294951,1.247525
PIC,10,-14.1,64.5,M,L,1.266682,1.201195
PIC,11,-10.7,67.9,M,L,1.293477,1.249857
QUA,1,-19.7,37.6,M,R,1.202994,1.223094
QUA,2,-15.7,41.6,M,R,1.208766,1.243258
QUA,3,-12.2,45.1,M,R,1.338514,1.390803
QUA,4,-9.3,47.9,M,R,1.257651,1.278188
QUA,5,-6.1,51.2,M,R,1.266756,1.298353
QUA,6,-3.2,54.1,M,R,1.250319,1.268148
QUA,7,0.1,57.4,M,R,1.256528,1.255603
ROS,1,-29.4,37.6,M,L,1.284825,1.204193
ROS,2,-25.4,41.6,M,L,1.24644,1.23397
ROS,3,-21.9,45.1,M,L,1.46448,1.471954
ROS,4,-19.1,47.9,M,L,1.331157,1.240852
ROS,5,-15.8,51.2,M,L,1.34762,1.298459
ROS,6,-12.7,54.2,M,L,1.357715,1.341005
ROS,7,-9.5,57.4,M,L,1.328962,1.270915
ROS,8,-6.6,60.4,M,L,1.344982,1.318076
ROS,9,-2.5,64.5,M,L,1.335377,1.272121
ROS,10,-0.4,66.6,M,L,1.314618,1.286129
ROS,11,3,70,M,L,1.245535,1.191453
SON,1,-22.3,33.2,M,R,1.205695,1.25065
SON,2,-18.3,37.1,M,R,1.187658,1.25462
SON,3,-14.8,40.7,M,R,1.225839,1.283824
SON,4,-12,43.5,M,R,1.226817,1.304192
SON,5,-8.8,46.7,M,R,1.227414,1.307734
SON,6,-5.6,49.8,M,R,1.201533,1.300947
SON,7,-2.5,53,M,R,1.204431,1.295243
SON,8,0.5,56,M,R,1.24185,1.322344
SON,9,3.5,59,M,R,1.185944,1.257867
SON,10,6.7,62.2,M,R,1.209711,1.26988
SON,11,10.1,65.6,M,R,1.193477,1.183053
TRI,1,-19.7,30.8,F,L,1.266845,1.189838
TRI,2,-15.7,34.8,F,L,1.247127,1.152642
TRI,3,-12.2,38.3,F,L,1.280897,1.192454
TRI,4,-9.3,41.2,F,L,1.287029,1.226686
TRI,5,-6.1,44.4,F,L,1.281515,1.206245
TRI,6,-3.2,47.3,F,L,1.28271,1.25755
TRI,7,0.2,50.7,F,L,1.304533,1.242677
TRI,8,3.2,53.7,F,L,1.287859,1.257774
TRI,9,7.2,57.7,F,L,1.299066,1.208729
TRI,10,9.3,59.8,F,L,1.265222,1.201118
TRI,11,12.7,63.2,F,L,1.243679,1.183448
UNI,1,-13.1,32.1,F,R,1.200761,1.198887
UNI,2,-9.2,36,F,R,1.199795,1.179099
UNI,3,-5.6,39.6,F,R,1.229422,1.223205
UNI,4,-2.8,42.4,F,R,1.21934,1.21382
UNI,5,0.4,45.6,F,R,1.216875,1.197983
UNI,6,3.5,48.7,F,R,1.219007,1.211224
UNI,7,6.7,51.9,F,R,1.243839,1.232605
UNI,8,9.7,54.9,F,R,1.231209,1.216415
UNI,9,13.7,58.9,F,R,1.216919,1.188726
UNI,10,15.9,61.1,F,R,1.252749,1.249711
UNI,11,19.2,64.4,F,R,1.213094,1.154254
VIK,1,-19.7,36.2,M,R,1.240243,1.22971
VIK,2,-15.7,40.1,M,R,1.242455,1.197735
VIK,3,-12.2,43.6,M,R,1.267358,1.199763
VIK,4,-9.4,46.5,M,R,1.259121,1.222081
VIK,5,-6.1,49.7,M,R,1.258092,1.222703
VIK,6,-3.1,52.7,M,R,1.284795,1.245446
VIK,7,0.1,56,M,R,1.277689,1.217528
VIK,8,3.1,59,M,R,1.277772,1.225932
VIK,9,7.2,63,M,R,1.262286,1.226449
VIK,10,9.3,65.2,M,R,1.255481,1.188152
VIK,11,12.7,68.5,M,R,1.265439,1.224848
