ID,session,mature,age,sex,hemi,somatosensory_cortex_contra,superior_parietal_lobule_contra,inferior_parietal_lobule_contra,posterior_medial_cortex_contra
OLI,1,-22.3,37.6,M,R,1.358026,1.223813,1.411629,1.644981
OLI,2,-18.3,41.6,M,R,1.346941,1.216779,1.376404,1.612235
OLI,3,-14.8,45.1,M,R,1.462266,1.312314,1.528614,1.792299
OLI,4,-12,47.9,M,R,1.363346,1.212401,1.406182,1.647201
OLI,5,-8.8,51.1,M,R,1.394642,1.240162,1.42698,1.714608
OLI,6,-5.8,54.1,M,R,1.394102,1.289849,1.46865,1.779053
OLI,7,-2.5,57.4,M,R,1.422475,1.256182,1.422472,1.699925
OLI,8,0.5,60.4,M,R,1.397983,1.219487,1.416979,1.620767
OLI,9,4.6,64.5,M,R,1.431703,1.233937,1.433224,1.686173
OLI,10,6.7,66.6,M,R,1.364515,1.209744,1.406075,1.607225
OLI,11,10.1,70,M,R,1.410996,1.255416,1.427523,1.746005
PIC,1,-43.1,35.5,M,L,1.389966,1.353476,1.520373,1.709846
PIC,2,-39.2,39.5,M,L,1.399468,1.357249,1.499047,1.682706
PIC,3,-35.7,43,M,L,1.456657,1.386959,1.527676,1.758121
PIC,4,-32.8,45.8,M,L,1.440083,1.401406,1.571249,1.70056
PIC,5,-29.6,49.1,M,L,1.437781,1.385386,1.565085,1.729811
PIC,6,-26.5,52.1,M,L,1.428225,1.395781,1.515918,1.68585
PIC,7,-23.3,55.3,M,L,1.432057,1.402149,1.568183,1.712659
PIC,8,-20.3,58.3,M,L,1.4342,1.384418,1.524896,1.730352
PIC,9,-15.9,62.8,M,L,1.44378,1.393202,1.565796,1.728824
PIC,10,-14.1,64.5,M,L,1.386816,1.353845,1.511903,1.671321
PIC,11,-10.7,67.9,M,L,1.421106,1.369813,1.513708,1.74117
QUA,1,-19.7,37.6,M,R,1.285649,1.206858,1.396209,1.595428
QUA,2,-15.7,41.6,M,R,1.30551,1.226058,1.425648,1.585565
QUA,3,-12.2,45.1,M,R,1.427724,1.353272,1.522989,1.715736
QUA,4,-9.3,47.9,M,R,1.365625,1.265484,1.471564,1.627477
QUA,5,-6.1,51.2,M,R,1.376544,1.278523,1.496203,1.60551
QUA,6,-3.2,54.1,M,R,1.361355,1.285923,1.486496,1.64348
QUA,7,0.1,57.4,M,R,1.361402,1.271965,1.422049,1.57855
ROS,1,-29.4,37.6,M,L,1.43231,1.307202,1.542071,1.758676
ROS,2,-25.4,41.6,M,L,1.405607,1.29592,1.460087,1.579615
ROS,3,-21.9,45.1,M,L,1.606743,1.500275,1.746123,2.007209
ROS,4,-19.1,47.9,M,L,1.507115,1.376771,1.576033,1.792044
ROS,5,-15.8,51.2,M,L,1.522116,1.397568,1.616612,1.802053
ROS,6,-12.7,54.2,M,L,1.52652,1.383224,1.637141,1.803448
ROS,7,-9.5,57.4,M,L,1.501769,1.35615,1.586667,1.796445
ROS,8,-6.6,60.4,M,L,1.479317,1.369505,1.601961,1.794137
ROS,9,-2.5,64.5,M,L,1.484651,1.359183,1.569742,1.785971
ROS,10,-0.4,66.6,M,L,1.497107,1.333688,1.573652,1.742942
ROS,11,3,70,M,L,1.392285,1.310503,1.468397,1.706057
SON,1,-22.3,33.2,M,R,1.354684,1.270985,1.403616,1.662616
SON,2,-18.3,37.1,M,R,1.358267,1.296212,1.377826,1.630032
SON,3,-14.8,40.7,M,R,1.39021,1.315463,1.433719,1.679904
SON,4,-12,43.5,M,R,1.383515,1.315248,1.418323,1.697276
SON,5,-8.8,46.7,M,R,1.422342,1.333336,1.413277,1.633015
SON,6,-5.6,49.8,M,R,1.399192,1.290995,1.41885,1.647932
SON,7,-2.5,53,M,R,1.368677,1.30476,1.419734,1.643145
SON,8,0.5,56,M,R,1.402924,1.308469,1.442693,1.733357
SON,9,3.5,59,M,R,1.371637,1.288213,1.350059,1.579786
SON,10,6.7,62.2,M,R,1.417132,1.293037,1.43106,1.711179
SON,11,10.1,65.6,M,R,1.347686,1.268734,1.365654,1.582839
TRI,1,-19.7,30.8,F,L,1.412994,1.353189,1.532197,1.899909
TRI,2,-15.7,34.8,F,L,1.39865,1.428039,1.525785,1.87891
TRI,3,-12.2,38.3,F,L,1.446134,1.423121,1.544257,1.97427
TRI,4,-9.3,41.2,F,L,1.442283,1.431432,1.544664,1.898436
TRI,5,-6.1,44.4,F,L,1.417658,1.435208,1.535953,1.912127
TRI,6,-3.2,47.3,F,L,1.442276,1.435469,1.535128,1.909548
TRI,7,0.2,50.7,F,L,1.442516,1.418774,1.555901,1.959284
TRI,8,3.2,53.7,F,L,1.442299,1.455883,1.55718,1.903667
TRI,9,7.2,57.7,F,L,1.446786,1.454944,1.548621,1.929445
TRI,10,9.3,59.8,F,L,1.440752,1.443229,1.541675,1.934962
TRI,11,12.7,63.2,F,L,1.344291,1.352999,1.450297,1.708413
UNI,1,-13.1,32.1,F,R,1.34742,1.294299,1.432275,1.573685
UNI,2,-9.2,36,F,R,1.346335,1.297105,1.431771,1.546064
UNI,3,-5.6,39.6,F,R,1.402694,1.356093,1.459261,1.671952
UNI,4,-2.8,42.4,F,R,1.387153,1.309755,1.445982,1.612942
UNI,5,0.4,45.6,F,R,1.377948,1.349031,1.452405,1.615296
UNI,6,3.5,48.7,F,R,1.4195,1.345872,1.439773,1.620801
UNI,7,6.7,51.9,F,R,1.390991,1.354276,1.453953,1.619271
UNI,8,9.7,54.9,F,R,1.39312,1.341919,1.467539,1.618042
UNI,9,13.7,58.9,F,R,1.406402,1.332509,1.444327,1.602535
UNI,10,15.9,61.1,F,R,1.418857,1.375498,1.499467,1.656845
UNI,11,19.2,64.4,F,R,1.357712,1.310449,1.42843,1.601662
VIK,1,-19.7,36.2,M,R,1.356662,1.275751,1.424376,1.640117
VIK,2,-15.7,40.1,M,R,1.362301,1.303379,1.460177,1.722196
VIK,3,-12.2,43.6,M,R,1.408478,1.315211,1.459767,1.656931
VIK,4,-9.4,46.5,M,R,1.370471,1.290165,1.451728,1.698793
VIK,5,-6.1,49.7,M,R,1.381181,1.310382,1.435838,1.715336
VIK,6,-3.1,52.7,M,R,1.400688,1.344585,1.490387,1.71496
VIK,7,0.1,56,M,R,1.400233,1.360593,1.475726,1.71102
VIK,8,3.1,59,M,R,1.396919,1.34079,1.468238,1.740343
VIK,9,7.2,63,M,R,1.399801,1.34367,1.47169,1.672596
VIK,10,9.3,65.2,M,R,1.40458,1.334289,1.435738,1.656388
VIK,11,12.7,68.5,M,R,1.374282,1.328875,1.412518,1.671392
