ID,session,mature,age,sex,hemi,Frontal_contra,Parietal_contra,Temporal_contra,Occipital_contra,SC_contra,diencephalon_contra,mesencephalon_contra,metencephalon_contra,myelencephalon_contra
OLI,1,-22.3,37.6,M,R,5870.625,3632.875,3721.375,4502.375,3249.25,926.625,461.25,3619.375,411.125
OLI,2,-18.3,41.6,M,R,5895.25,3683.75,3587.25,4334.5,3436.125,991.5,519.375,3534.875,453.25
OLI,3,-14.8,45.1,M,R,6457.875,3827.875,3975.625,4598.75,3232.25,954.125,506.125,3675.125,427
OLI,4,-12,47.9,M,R,5881.625,3554.5,3739.625,4443.875,3349.75,951.75,502.875,3670.5,463.875
OLI,5,-8.8,51.1,M,R,6093.5,3656.375,3877.875,4526.625,3352.125,982.25,508.625,3748.75,466
OLI,6,-5.8,54.1,M,R,5807.625,3606.625,3467.5,4342.75,3414.5,972.75,500.375,3709.375,441.25
OLI,7,-2.5,57.4,M,R,5962.75,3745.75,3696.5,4647.25,3431.875,1004.25,521.5,3895.625,471.5
OLI,8,0.5,60.4,M,R,5833,3727.375,3619.25,4498.25,3403,1010.5,532.875,3817.75,486.125
OLI,9,4.6,64.5,M,R,6039.25,3824.125,3741.5,4552.25,3525.125,1025.875,549.5,3857.125,477
OLI,10,6.7,66.6,M,R,5638.625,3705.875,3557.5,4490.125,3412.75,1021.375,543.125,3737.25,489.625
OLI,11,10.1,70,M,R,5574.375,3689,3649.125,4501.875,3357,1021.625,519.625,3843.375,490
PIC,1,-43.1,35.5,M,L,5924.625,3911.75,4021.75,4834.875,3631.375,1121,602.125,3950.875,575.5
PIC,2,-39.2,39.5,M,L,5965.25,3965.75,4077.875,4899.25,3712.5,1144.75,589.625,4053.625,607.5
PIC,3,-35.7,43,M,L,6078.375,4079.25,3744.875,4917.5,3709.875,1202.125,687.875,3925,614
PIC,4,-32.8,45.8,M,L,6125.25,3864.125,4083.25,4611.25,3781.375,1176.125,621.125,4077.5,641.25
PIC,5,-29.6,49.1,M,L,6038.625,4055.125,3822.5,4876.875,3674.5,1192.25,640.125,4059,602.375
PIC,6,-26.5,52.1,M,L,6348.875,4162.25,3955,5094.375,3802.875,1246.5,693.25,4215.875,685.375
PIC,7,-23.3,55.3,M,L,6175.5,4007.375,4240.25,4959.25,3881.625,1220,654.875,4266.5,653.625
PIC,8,-20.3,58.3,M,L,6170.125,4080.125,4147,5051.5,3852,1226.25,679.75,4231.875,678.875
PIC,9,-15.9,62.8,M,L,6022.125,3968.25,4136.375,5040.75,3968.875,1277.75,694.75,4354.5,696.625
PIC,10,-14.1,64.5,M,L,6281.125,3967.375,4180.625,5016.875,3876.25,1260,689,4313.25,705.125
PIC,11,-10.7,67.9,M,L,6039.875,4113.875,4082.75,5119.875,3869.75,1269.375,701.875,4448.375,697.375
QUA,1,-19.7,37.6,M,R,5091.875,3110.5,3936.625,4444.5,3466.875,1040.125,587.75,4075.625,531
QUA,2,-15.7,41.6,M,R,5265.125,3248.125,3988.5,4538.625,3483.75,1083.375,600.125,4094.5,565
QUA,3,-12.2,45.1,M,R,5701.75,3384.5,3751.125,4748.125,3435.125,946.625,557.125,3996.875,435.375
