ID,session,mature,age,sex,hemi,anterior_cingulate_gyrus_contra,orbital_frontal_cortex_contra,lateral_prefrontal_cortex_contra,motor_cortex_contra,somatosensory_cortex_contra,superior_parietal_lobule_contra,inferior_parietal_lobule_contra,posterior_medial_cortex_contra,medial_temporal_lobe_contra,temporal_pole_contra,inferior_temporal_cortex_contra,superior_temporal_region_contra,core_and_belt_areas_of_auditory_cortex_contra,floor_of_the_lateral_sulcus_contra,middle_temporal_area_contra,extrastriate_visual_areas_2_4_contra,primary_visual_cortex_contra,lateral_and_ventral_pallium_contra,medial_pallium_contra,amygdala_contra,basal_ganglia_contra,diagonal_subpallium_contra,preoptic_complex_contra,hypothalamus_contra,prethalamus_contra,thalamus_contra,epithalamus_contra,pretectum_contra,midbrain_contra,pons_contra,cerebellum_contra,medulla_contra
OLI,1,-22.3,37.6,M,R,597.375,1422.125,1519.75,2319.75,1127.625,775,1026.625,714.875,308.625,219.375,1659,755.25,440.375,336.875,86.25,2658.625,1751.875,270.375,521.875,194.375,2019.25,129.625,115,133.875,27.5,733.125,12.5,19.625,461.25,596.5,3023.125,411.125
OLI,2,-18.3,41.6,M,R,639,1237.25,1529.625,2497,1142.875,791.5,1045.75,709.25,296.125,211.625,1543.5,720.125,449.25,367.125,82.5,2590.5,1659.125,307.375,502.375,222.25,2085.25,166.625,155,159.125,26.625,765.875,13.75,26.125,519.375,599.5,2935.5,453.25
OLI,3,-14.8,45.1,M,R,608.125,1504.75,1722.625,2628.625,1206,798.5,1111.125,715.75,321,283.125,1715.25,817,516.375,329.375,88.625,2689.75,1812.125,296.75,472.75,230.875,1951.25,141.25,139.375,174,27.5,715,13.875,23.75,506.125,595.125,3080.625,427
OLI,4,-12,47.9,M,R,611.125,1334.625,1574.125,2370,1109.75,742.375,993.75,715,341.875,235.5,1634,719.625,457,354.25,80,2626.25,1734,285.875,525.625,216.5,2052.875,137.625,132.125,145,26.75,742.625,13.125,24.25,502.875,610.5,3060.875,463.875
OLI,5,-8.8,51.1,M,R,654.375,1326,1680.125,2430.75,1166.125,763.25,1018.25,715.5,323.5,212.125,1749.125,751.875,478.5,361.25,80.75,2658.125,1784.5,278.25,513.75,218.375,2055.125,149.375,138,155,27.75,762.875,14,22.625,508.625,631.625,3118,466
OLI,6,-5.8,54.1,M,R,617.375,1303.375,1462,2430.375,1122.125,768,991.25,730.25,327.125,196.5,1476.625,670.125,435.625,360.875,81.875,2621.5,1635,284.125,530.25,246.375,2068,148,138.125,148.125,28.625,759.75,13.5,22.75,500.375,600.5,3109.25,441.25
OLI,7,-2.5,57.4,M,R,620.5,1224,1572,2550.75,1209.375,785.5,1042.375,715.75,317.375,195.5,1628.625,723.125,465.5,365.75,86.5,2739.5,1814.25,274.125,529.5,226.5,2089.75,155.375,159.625,162.75,29.625,776,12.25,23.625,521.5,680.75,3215.5,471.5
OLI,8,0.5,60.4,M,R,633.625,1174.125,1573.625,2467.875,1191.125,771.5,1060.875,709.75,257.875,233.25,1579.5,737.125,474.75,346.25,82.125,2666.5,1743.5,275.5,516,203.375,2085.75,165,159.5,160.875,32.375,775.75,16,25.5,532.875,653,3165,486.125
OLI,9,4.6,64.5,M,R,635.25,1261.25,1567.125,2578,1224.625,802,1061.625,740.875,359,222.75,1614.875,731.875,455.25,355.625,87,2696.625,1767.125,287.125,565.375,251,2124.875,160.25,137.875,155.125,33.25,801.875,13,22.625,549.5,676.375,3181.125,477
OLI,10,6.7,66.6,M,R,615.125,1112.375,1459.375,2465.875,1158.375,790.625,1047.375,718.5,310.75,229.25,1505.125,693.875,452,364.625,83,2635.75,1766,276.375,528.375,214.875,2063.5,167.375,165,160.875,30.875,792.25,13.375,24,543.125,632.375,3105.375,489.625
OLI,11,10.1,70,M,R,598,1132.125,1376.5,2472.25,1166,788.75,1027.5,713.75,349.125,203.5,1584.625,703,461.875,351.75,82.75,2680.375,1739,270.875,531.875,209.125,2045,161.5,138.25,153.875,29.5,800.875,14.5,22.875,519.625,661.375,3183.25,490
PIC,1,-43.1,35.5,M,L,608.625,1273.75,1649.875,2373.125,1198.5,886.25,1104.75,722.25,359.875,295.25,1763.75,781.75,489.125,327,92.125,2837.125,1905.625,286.125,610.875,268.875,2161.25,160.375,145.5,157.75,28.875,890.5,12.75,31.125,602.125,744.75,3206.125,575.5
PIC,2,-39.2,39.5,M,L,597.75,1304,1668.625,2380.875,1267.375,878.125,1112.5,707.75,359.125,287.125,1802.75,816.125,476.625,331.75,91.25,2865.5,1942.5,300.25,591.75,261.25,2244.125,164.25,154.375,164.125,33.875,905.75,15.5,25.5,589.625,794.125,3259.5,607.5
PIC,3,-35.7,43,M,L,593.5,1269.125,1668.875,2530.375,1316,913.75,1143.5,706,293.375,242.125,1601.625,776.25,510.75,317.25,98,2887.75,1931.75,273.375,568.75,235.375,2279.75,163.25,191.5,192.875,42.25,923,15.375,28.625,687.875,803.75,3121.25,614
PIC,4,-32.8,45.8,M,L,596.125,1409.25,1683.25,2412.25,1205.75,884.375,1060.875,713.125,380.625,317,1764.875,801.25,480.875,332.75,88.25,2779.25,1743.75,288.25,608.75,278.5,2271.125,169.75,167.125,176.75,37.125,921.875,14.75,25.625,621.125,809.625,3267.875,641.25
