ID,session,mature,age,sex,hemi,medial_temporal_lobe_contra,temporal_pole_contra,inferior_temporal_cortex_contra,superior_temporal_region_contra,core_and_belt_areas_of_auditory_cortex_contra,floor_of_the_lateral_sulcus_contra,middle_temporal_area_contra
OLI,1,-22.3,37.6,M,R,308.625,219.375,1659,755.25,440.375,336.875,86.25
OLI,2,-18.3,41.6,M,R,296.125,211.625,1543.5,720.125,449.25,367.125,82.5
OLI,3,-14.8,45.1,M,R,321,283.125,1715.25,817,516.375,329.375,88.625
OLI,4,-12,47.9,M,R,341.875,235.5,1634,719.625,457,354.25,80
OLI,5,-8.8,51.1,M,R,323.5,212.125,1749.125,751.875,478.5,361.25,80.75
OLI,6,-5.8,54.1,M,R,327.125,196.5,1476.625,670.125,435.625,360.875,81.875
OLI,7,-2.5,57.4,M,R,317.375,195.5,1628.625,723.125,465.5,365.75,86.5
OLI,8,0.5,60.4,M,R,257.875,233.25,1579.5,737.125,474.75,346.25,82.125
OLI,9,4.6,64.5,M,R,359,222.75,1614.875,731.875,455.25,355.625,87
OLI,10,6.7,66.6,M,R,310.75,229.25,1505.125,693.875,452,364.625,83
OLI,11,10.1,70,M,R,349.125,203.5,1584.625,703,461.875,351.75,82.75
PIC,1,-43.1,35.5,M,L,359.875,295.25,1763.75,781.75,489.125,327,92.125
PIC,2,-39.2,39.5,M,L,359.125,287.125,1802.75,816.125,476.625,331.75,91.25
PIC,3,-35.7,43,M,L,293.375,242.125,1601.625,776.25,510.75,317.25,98
PIC,4,-32.8,45.8,M,L,380.625,317,1764.875,801.25,480.875,332.75,88.25
PIC,5,-29.6,49.1,M,L,272,291.875,1664.5,792.5,465,333.375,93.5
PIC,6,-26.5,52.1,M,L,315,262.625,1724.25,792,531.25,326.25,98.125
PIC,7,-23.3,55.3,M,L,430.125,326.25,1829.375,829.625,487.25,333.25,96.125
PIC,8,-20.3,58.3,M,L,398.125,308.75,1806.875,802.25,488.25,338.375,98.375
PIC,9,-15.9,62.8,M,L,403.875,288.75,1827.25,799.25,484.5,327,99.125
PIC,10,-14.1,64.5,M,L,393.125,311.125,1810.25,852.5,479.125,329.75,96.125
PIC,11,-10.7,67.9,M,L,369.375,257.125,1800.75,822,484.875,345.125,96.25
