Filename,Date,Monkey,Task,dob,date_mature,Day_to_maturation,age,percorr,percorr_class_1,percorr_class_2,percorr_class_3,percorr_class_4,percorr_class_5,percorr_class_6,percorr_class_7,percorr_class_8,ID,age_group4,mature_group4,month_to_maturation,age_month
oli001_1,13-Nov-2019,OLI,ODR3,01-Jan-2016,02-Dec-2020,-385,1412,0.857142857142857,1,0.857142857142857,0.75,0.857142857142857,0.666666666666667,1,0.857142857142857,1,OLI,2,2,-12.6575342465753,46.4219178082192
oli002_1,14-Nov-2019,OLI,ODR3,01-Jan-2016,02-Dec-2020,-384,1413,0.816666666666667,1,1,0.375,0.857142857142857,1,1,1,1,OLI,2,2,-12.6246575342466,46.4547945205479
oli003_1,15-Nov-2019,OLI,ODR3,01-Jan-2016,02-Dec-2020,-383,1414,0.816091954022989,1,0.75,0.4,0.9,1,1,1,1,OLI,2,2,-12.5917808219178,46.4876712328767
oli004_1,19-Nov-2019,OLI,ODR3,01-Jan-2016,02-Dec-2020,-379,1418,0.906666666666667,1,1,0.615384615384615,1,0.9,1,1,0.9,OLI,2,2,-12.4602739726027,46.6191780821918
oli005_1,20-Nov-2019,OLI,ODR3,01-Jan-2016,02-Dec-2020,-378,1419,0.822784810126582,1,0.8,0.421052631578947,1,1,1,1,0.9,OLI,2,2,-12.427397260274,46.6520547945205
oli006_1,21-Nov-2019,OLI,ODR3,01-Jan-2016,02-Dec-2020,-377,1420,0.780487804878049,1,0.571428571428571,0.533333333333333,0.727272727272727,0.888888888888889,0.888888888888889,1,1,OLI,2,2,-12.3945205479452,46.6849315068493
oli007_1,22-Nov-2019,OLI,ODR3,01-Jan-2016,02-Dec-2020,-376,1421,0.788888888888889,1,0.75,0.363636363636364,1,0.818181818181818,1,1,1,OLI,2,2,-12.3616438356164,46.7178082191781
oli008_1,03-Dec-2019,OLI,ODR3,01-Jan-2016,02-Dec-2020,-365,1432,0.752941176470588,0.888888888888889,0.615384615384615,0.5,0.888888888888889,0.8,0.8,0.888888888888889,0.888888888888889,OLI,2,2,-12,47.0794520547945
oli009_1,04-Dec-2019,OLI,ODR3,01-Jan-2016,02-Dec-2020,-364,1433,0.577464788732394,0.833333333333333,0.625,0.227272727272727,0.454545454545455,0.714285714285714,0.833333333333333,1,1,OLI,2,2,-11.9671232876712,47.1123287671233
oli010_1,05-Dec-2019,OLI,ODR,01-Jan-2016,02-Dec-2020,-363,1434,0.607843137254902,0.875,0.388888888888889,0.4,0.8,0.888888888888889,0.571428571428571,0.533333333333333,1,OLI,2,2,-11.9342465753425,47.1452054794521
oli011_1,06-Dec-2019,OLI,ODR3,01-Jan-2016,02-Dec-2020,-362,1435,0.774193548387097,1,0.857142857142857,0.4,0.75,1,0.857142857142857,1,0.857142857142857,OLI,2,2,-11.9013698630137,47.1780821917808
oli012_1,06-Dec-2019,OLI,ODR3,01-Jan-2016,02-Dec-2020,-362,1435,0.88,1,0.8,0.888888888888889,0.727272727272727,1,1,0.727272727272727,1,OLI,2,2,-11.9013698630137,47.1780821917808
oli013_1,07-Jan-2020,OLI,ODR3,01-Jan-2016,02-Dec-2020,-330,1467,0.91358024691358,0.909090909090909,0.9,0.818181818181818,1,1,0.9,0.9,0.9,OLI,2,2,-10.8493150684931,48.2301369863014
