Filename,Date,Monkey,Task,dob,date_mature,Day_to_maturation,age,percorr,percorr_class_1,percorr_class_2,percorr_class_3,percorr_class_4,percorr_class_5,percorr_class_6,percorr_class_7,percorr_class_8,percorr_class_9,percorr_class_10,percorr_class_11,percorr_class_12,percorr_class_13,percorr_class_14,percorr_class_15,percorr_class_16,percorr_class_17,percorr_class_18,percorr_class_19,percorr_class_20
oli001_2,13-Nov-2019,OLI,ODRdistractor_cardinal,01-Jan-2016,02-Dec-2020,-385,1412,0.529411764705882,0.9,0.75,0.818181818181818,1,1,0.818181818181818,0.6,0.173076923076923,0.818181818181818,0.75,0.642857142857143,0.9,0.692307692307692,0.818181818181818,0.9,0.346153846153846,0.257142857142857,0.2,0.818181818181818,0.692307692307692
oli002_2,14-Nov-2019,OLI,ODRdistractor_diagonal,01-Jan-2016,02-Dec-2020,-384,1413,0.623188405797101,0.666666666666667,0.5,0.4,1,0.666666666666667,1,1,1,1,1,1,1,1,1,1,1,0.222222222222222,0.5,1,0.166666666666667
oli002_3,14-Nov-2019,OLI,ODRdistractor_diagonal,01-Jan-2016,02-Dec-2020,-384,1413,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
oli003_2,15-Nov-2019,OLI,ODRdistractor_diagonal,01-Jan-2016,02-Dec-2020,-383,1414,0.732558139534884,1,1,0.75,1,1,0.818181818181818,1,0.36,0.909090909090909,1,0.75,0.9,0.3,0.818181818181818,0.769230769230769,1,0.909090909090909,0.409090909090909,0.818181818181818,0.909090909090909
oli004_2,19-Nov-2019,OLI,ODRdistractor_cardinal,01-Jan-2016,02-Dec-2020,-379,1418,0.570200573065903,0.769230769230769,1,0.769230769230769,1,1,0.588235294117647,0.277777777777778,0.111111111111111,0.714285714285714,0.555555555555556,1,1,0.625,1,1,0.666666666666667,0.769230769230769,0.5,0.909090909090909,0.833333333333333
oli005_2,20-Nov-2019,OLI,ODRdistractor_diagonal,01-Jan-2016,02-Dec-2020,-378,1419,0.72202166064982,0.588235294117647,0.5,0.344827586206897,1,0.714285714285714,1,0.769230769230769,0.714285714285714,0.909090909090909,1,0.833333333333333,0.769230769230769,0.526315789473684,1,1,0.588235294117647,0.909090909090909,0.833333333333333,0.714285714285714,0.909090909090909
oli006_2,21-Nov-2019,OLI,ODRdistractor_cardinal,01-Jan-2016,02-Dec-2020,-377,1420,0.673400673400673,1,1,1,1,0.909090909090909,0.526315789473684,0.454545454545455,0.169491525423729,0.5,0.625,1,1,1,0.909090909090909,1,1,0.909090909090909,0.714285714285714,1,0.714285714285714
oli007_2,22-Nov-2019,OLI,ODRdistractor_cardinal,01-Jan-2016,02-Dec-2020,-376,1421,0.76978417266187,1,1,1,0.846153846153846,1,0.666666666666667,0.55,0.34375,0.416666666666667,0.625,1,1,0.916666666666667,0.846153846153846,0.916666666666667,1,0.916666666666667,1,1,0.846153846153846
oli008_2,03-Dec-2019,OLI,ODRdistractor_diagonal,01-Jan-2016,02-Dec-2020,-365,1432,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
oli008_3,03-Dec-2019,OLI,ODRdistractor_diagonal,01-Jan-2016,02-Dec-2020,-365,1432,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
